,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
607,2003,0,DAL,1610612742,"TRAVIS BEST, SHAWN BRADLEY, MARQUIS DANIELS, TONY DELK, MICHAEL FINLEY, DANNY FORTSON, JOSH HOWARD, ANTAWN JAMISON, MAMADOU N'DIAYE, EDUARDO NAJERA, STEVE NASH, DIRK NOWITZKI, ANTOINE WALKER",13,3285,7145,5.442,507.0,1455.0,3.382,1468,1840,9.432,1159.0,2493.0,3652,1952,651.0,428.0,955.0,1559,8545,45.9,100.8,5.442,7.0,20.4,3.382,20.7,26.0,9.432,16.8,35.0,51.9,26.8,9.6,6.4,13.8,23.3,119.80000000000001
608,2003,0,DEN,1610612743,"CHRIS ANDERSEN, CARMELO ANTHONY, JON BARRY, RYAN BOWEN, EARL BOYKINS, MARCUS CAMBY, FRANCISCO ELSON, VOSHON LENARD, ANDRE MILLER, NENE, MARK POPE, JEFF TREPAGNIER, NIKOLOZ TSKITISHVILI, RODNEY WHITE",14,2953,6666,5.94,331.0,985.0,2.718,1641,2143,9.657,1055.0,2339.0,3394,1780,739.0,514.0,1190.0,1746,7878,40.4,93.2,5.94,4.8,13.799999999999999,2.718,22.1,28.9,9.657,14.9,33.7,49.1,24.0,10.6,7.2,17.1,26.9,107.6
609,2003,0,DET,1610612765,"CHUCKY ATKINS, CHAUNCEY BILLUPS, ELDEN CAMPBELL, HUBERT DAVIS, TREMAINE FOWLKES, DARVIN HAM, RICHARD HAMILTON, LINDSEY HUNTER, DARKO MILICIC, MEHMET OKUR, TAYSHAUN PRINCE, ZELJKO REBRACA, BOB SURA, BEN WALLACE, CORLISS WILLIAMSON",15,2567,5886,5.746,291.0,844.0,2.994,1496,1988,9.926,974.0,2319.0,3293,1567,609.0,524.0,1109.0,1562,6921,36.8,87.1,5.746,4.6,13.899999999999999,2.994,21.6,28.6,9.926,14.5,34.2,48.5,24.2,9.5,7.5,17.0,26.6,100.0
610,2003,0,GSW,1610612744,"BRIAN CARDINAL, CALBERT CHEANEY, SPEEDY CLAXTON, ERICK DAMPIER, MIKE DUNLEAVY, ADONAL FOYLE, AVERY JOHNSON, POPEYE JONES, RUSTY LARUE, SEAN LAMPLEY, DAN LANGHI, TROY MURPHY, CHEROKEE PARKS, MICKAEL PIETRUS, JASON RICHARDSON, CLIFFORD ROBINSON, NICK VAN EXEL",17,2871,6490,7.007,429.0,1275.0,3.569,1470,2028,11.285,1000.0,2532.0,3532,1669,576.0,389.0,1149.0,1686,7641,46.6,106.7,7.007,6.8999999999999995,19.6,3.569,24.5,34.2,11.285,16.0,42.0,57.9,27.6,9.200000000000001,6.6,19.8,28.7,124.8
611,2003,0,HOU,1610612745,"TORRAYE BRAGGS, KELVIN CATO, ALTON FORD, STEVE FRANCIS, ADRIAN GRIFFIN, JIM JACKSON, MARK JACKSON, CUTTINO MOBLEY, BOSTJAN NACHBAR, MOOCHIE NORRIS, CHARLES OAKLEY, SCOTT PADGETT, ERIC PIATKOWSKI, MAURICE TAYLOR, MIKE WILKS, YAO MING",16,2652,6024,6.62,515.0,1405.0,3.849,1336,1721,11.3,787.0,2553.0,3340,1562,538.0,430.0,1269.0,1706,7155,38.7,88.7,6.62,7.7,20.9,3.849,19.9,26.200000000000003,11.3,12.4,39.3,51.8,24.4,8.5,6.1,19.7,28.7,104.8
612,2003,0,IND,1610612754,"KENNY ANDERSON, JONATHAN BENDER, JAMISON BREWER, PRIMOZ BREZEC, AUSTIN CROSHERE, JEFF FOSTER, AL HARRINGTON, ANTHONY JOHNSON, FRED JONES, JAMES JONES, REGGIE MILLER, JERMAINE O'NEAL, SCOT POLLARD, JAMAAL TINSLEY, METTA WORLD PEACE",15,2753,6322,6.283,449.0,1281.0,3.761,1538,2014,10.997,965.0,2452.0,3417,1774,726.0,411.0,1108.0,1709,7493,41.2,95.2,6.283,7.1,20.3,3.761,22.4,29.6,10.997,13.6,35.5,49.0,27.7,11.100000000000001,6.0,17.7,26.1,112.2
613,2003,0,LAC,1610612746,"MATT BARNES, ELTON BRAND, KEYON DOOLING, PREDRAG DROBNJAK, MELVIN ELY, EDDIE HOUSE, MARKO JARIC, CHRIS KAMAN, RANDY LIVINGSTON, COREY MAGGETTE, OLDEN POLYNICE, GLEN RICE, QUENTIN RICHARDSON, BOBBY SIMMONS, CHRIS WILCOX, WANG ZHI-ZHI",16,2721,6342,5.619,326.0,1001.0,2.376,1787,2273,11.771,1133.0,2347.0,3480,1519,569.0,374.0,1225.0,1731,7555,43.9,105.6,5.619,5.3,17.6,2.376,30.8,38.8,11.771,19.4,41.6,61.0,26.7,10.5,6.1000000000000005,22.6,31.4,124.1
614,2003,0,LAL,1610612747,"KOBE BRYANT, MAURICE CARTER, BRIAN COOK, DEREK FISHER, RICK FOX, DEVEAN GEORGE, HORACE GRANT, KARL MALONE, SLAVA MEDVEDENKO, SHAQUILLE O'NEAL, JANNERO PARGO, GARY PAYTON, KAREEM RUSH, BRYON RUSSELL, JAMAL SAMPSON, IME UDOKA, LUKE WALTON",17,3028,6676,7.265,365.0,1115.0,3.444,1631,2352,11.402,1001.0,2535.0,3536,1948,682.0,379.0,1096.0,1732,8052,49.6,109.9,7.265,5.6,16.9,3.444,29.2,41.6,11.402,18.3,45.5,63.5,32.3,11.4,6.7,20.7,31.3,133.7
615,2003,0,MEM,1610612763,"SHANE BATTIER, TROY BELL, PAU GASOL, RYAN HUMPHREY, DAHNTAY JONES, MIKE MILLER, BO OUTLAW, WESLEY PERSON, JAMES POSEY, THERON SMITH, STROMILE SWIFT, JAKE TSAKALIDIS, EARL WATSON, JASON WILLIAMS, LORENZEN WRIGHT",15,2668,5982,5.979,426.0,1253.0,3.205,1440,1987,10.017,990.0,2239.0,3229,1811,724.0,549.0,1051.0,1744,7202,40.4,94.9,5.979,6.6,20.7,3.205,20.5,28.4,10.017,15.6,33.9,49.6,27.5,11.0,8.0,17.8,28.6,107.3
616,2003,0,MIA,1610612748,"MALIK ALLEN, RAFER ALSTON, JEROME BEASLEY, CARON BUTLER, RASUAL BUTLER, BIMBO COLES, BRIAN GRANT, UDONIS HASLEM, TYRONE HILL, EDDIE JONES, LAMAR ODOM, KIRK PENNEY, DWYANE WADE, SAMAKI WALKER, JOHN WALLACE, LOREN WOODS",16,2712,6372,6.601,481.0,1343.0,2.76,1454,1909,10.367,936.0,2449.0,3385,1563,587.0,309.0,1070.0,1799,7359,42.0,100.6,6.601,7.1000000000000005,19.7,2.76,22.2,29.0,10.367,15.799999999999999,38.1,53.9,22.8,9.0,5.2,18.1,30.5,113.3
