,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
0,1983,0,ATL,1610612737,"RICKEY BROWN, JOHNNY DAVIS, MIKE GLENN, SCOTT HASTINGS, ARMOND HILL, EDDIE JOHNSON, MARK LANDSBERGER, WES MATTHEWS, BILLY PAULTZ, JOHN PINONE, DOC RIVERS, TREE ROLLINS, DAN ROUNDFIELD, DOMINIQUE WILKINS, SLY WILLIAMS, RANDY WITTMAN",16,19747.0,3221,6787,7.286,23.0,106.0,1.8,1833,2409,11.602,1109.0,2224.0,3333,1806,623.0,558.0,1306.0,2087,8298,322.3,49.6,107.9,7.286,0.30000000000000004,2.1999999999999997,1.8,31.3,41.4,11.602,17.3,35.9,53.3,31.0,10.8,7.9,22.2,36.1,130.8
1,1983,0,BOS,1610612738,"DANNY AINGE, LARRY BIRD, QUINN BUCKNER, M.L. CARR, CARLOS CLARK, GERALD HENDERSON, DENNIS JOHNSON, GREG KITE, CEDRIC MAXWELL, KEVIN MCHALE, ROBERT PARISH, SCOTT WEDMAN",12,19955.0,3616,7235,5.647,55.0,229.0,1.85,1907,2407,9.147,1159.0,2538.0,3697,2122,673.0,430.0,1398.0,1949,9194,262.0,47.1,95.0,5.647,0.8,3.1,1.85,24.3,31.099999999999998,9.147,15.2,33.0,48.3,27.7,9.0,5.5,18.6,26.1,119.3
2,1983,0,CHI,1610612741,"WALLACE BRYANT, DAVE CORZINE, QUINTIN DAILEY, SIDNEY GREEN, DAVID GREENWOOD, ROD HIGGINS, RONNIE LESTER, JAWANN OLDHAM, REGGIE THEUS, ENNIS WHATLEY, MITCHELL WIGGINS, ORLANDO WOOLRIDGE",12,19386.0,3192,6774,5.458,20.0,117.0,1.6440000000000001,1807,2398,8.668,1073.0,2202.0,3275,2077,672.0,433.0,1505.0,2077,8211,277.8,45.1,97.3,5.458,0.2,1.8,1.6440000000000001,25.8,34.8,8.668,15.7,30.9,46.6,31.200000000000003,9.5,6.1,22.0,31.0,116.5
3,1983,0,CLE,1610612739,"JOHN BAGLEY, JEFF COOK, JEFFREY CROMPTON, WORLD FREE, JOHN GARRIS, STEWART GRANGER, ROY HINSON, PHIL HUBBARD, GEOFF HUSTON, BEN POQUETTE, CLIFF T. ROBINSON, LONNIE SHELTON, PAUL THOMPSON",13,19855.0,3362,7232,5.755,43.0,164.0,2.558,1619,2178,9.422,1213.0,2388.0,3601,1930,630.0,375.0,1309.0,2206,8386,272.5,45.5,99.0,5.755,0.5,2.1,2.558,22.5,30.3,9.422,17.3,33.0,50.3,26.4,8.6,5.2,18.1,30.6,114.2
4,1983,0,DAL,1610612742,"MARK AGUIRRE, ROLANDO BLACKMAN, PAT CUMMINGS, BRAD DAVIS, DALE ELLIS, BILL GARNETT, DEREK HARPER, KURT NIMPHIUS, JIM SPANARKEL, ELSTON TURNER, JAY VINCENT, MARK WEST",12,19879.0,3609,7204,5.575,41.0,180.0,1.933,1772,2348,8.502,1088.0,2258.0,3346,2155,578.0,360.0,1279.0,1896,9031,270.1,48.1,97.2,5.575,0.6000000000000001,2.5,1.933,24.6,32.8,8.502,15.3,30.2,45.6,28.7,8.6,4.9,17.7,26.8,121.39999999999999
5,1983,0,DEN,1610612743,"RICHARD ANDERSON, HOWARD CARTER, KENNY DENNARD, T.R. DUNN, ALEX ENGLISH, MIKE EVANS, BILL HANZLIK, DAN ISSEL, ANTHONY ROBERTS, DAVE ROBISCH, DAN SCHAYES, KIKI VANDEWEGHE, ROB WILLIAMS",13,19704.0,3912,7936,5.814,77.0,255.0,2.371,2182,2665,10.254999999999999,1127.0,2432.0,3559,2475,707.0,351.0,1319.0,2263,10083,270.5,52.6,108.4,5.814,1.0,3.4000000000000004,2.371,29.0,35.4,10.254999999999999,15.7,33.8,49.6,33.4,9.6,4.8,18.4,32.1,135.1
6,1983,0,DET,1610612765,"KEN AUSTIN, KENT BENSON, EARL CURETON, LIONEL HOLLINS, VINNIE JOHNSON, BILL LAIMBEER, CLIFF LEVINGSTON, JOHN LONG, WALKER RUSSELL, DAVID THIRDKILL, ISIAH THOMAS, RAY TOLBERT, KELLY TRIPUCKA, TERRY TYLER",14,19905.0,3798,7910,6.518,32.0,141.0,1.5210000000000001,1974,2547,9.546,1427.0,2434.0,3861,2256,697.0,417.0,1296.0,2177,9602,267.4,49.9,105.0,6.518,0.39999999999999997,1.8000000000000003,1.5210000000000001,25.7,33.4,9.546,18.9,32.1,50.8,30.599999999999998,9.4,5.3,17.8,30.9,125.9
7,1983,0,GOS,1610612744,"MIKE BRATZ, RON BREWER, JOE BARRY CARROLL, DON COLLINS, LESTER CONNER, RUSSELL CROSS, CHRIS ENGLER, SLEEPY FLOYD, MICKEY JOHNSON, PACE MANNION, LORENZO ROMAR, PURVIS SHORT, LARRY SMITH, DARREN TILLIS, SAMUEL WILLIAMS",15,19830.0,3519,7534,6.859,55.0,226.0,1.548,1915,2577,10.466,1390.0,2171.0,3561,1837,830.0,348.0,1491.0,2108,9008,290.7,50.5,108.3,6.859,0.8,3.3,1.548,27.4,37.5,10.466,19.5,31.1,50.8,24.900000000000002,12.200000000000001,5.3,20.5,30.8,128.7
8,1983,0,HOU,1610612745,"JAMES BAILEY, CRAIG EHLO, PHIL FORD, ELVIN HAYES, CALDWELL JONES, MAJOR JONES, ALLEN LEAVELL, LEWIS LLOYD, RODNEY MCCRAY, ROBERT REID, RALPH SAMPSON, TERRY TEAGLE, WALLY WALKER",13,19755.0,3729,7533,6.295,30.0,154.0,2.194,1583,2139,9.504,1200.0,2483.0,3683,2204,621.0,515.0,1539.0,2317,9071,266.5,50.2,102.39999999999999,6.295,0.2,2.0,2.194,20.3,27.4,9.504,16.2,32.9,49.2,29.3,8.6,6.5,20.2,32.1,121.4
9,1983,0,IND,1610612754,"BUTCH CARTER, LEROY COMBS, TRACY JACKSON, GEORGE JOHNSON, CLARK KELLOGG, SIDNEY LOWE, KEVIN MCKENNA, JERRY SICHTING, BROOK STEPPE, STEVE STIPANOVICH, JIM THOMAS, GRANVILLE WAITERS, HERB WILLIAMS",13,19729.0,3442,7113,5.975,48.0,207.0,1.759,1620,2115,10.055,999.0,2392.0,3391,2167,834.0,398.0,1489.0,2053,8552,271.2,47.1,98.3,5.975,0.5,2.9,1.759,24.4,31.1,10.055,13.9,32.0,45.8,29.1,11.4,5.6000000000000005,20.9,29.2,118.8
10,1983,0,KCK,1610612758,"DON BUSE, LARRY DREW, EDDIE JOHNSON, STEVE JOHNSON, BILLY KNIGHT, KEVIN LODER, JOE MERIWEATHER, LARRY MICHEAUX, ED NEALY, MARK OLBERDING, DANE SUTTLE, LASALLE THOMPSON, MIKE WOODSON",13,18696.0,3328,6794,6.438,48.0,162.0,1.787,1798,2309,9.805,1103.0,2202.0,3305,2013,683.0,373.0,1383.0,2092,8502,272.6,48.5,98.6,6.438,0.6000000000000001,2.4,1.787,25.7,33.7,9.805,16.4,31.7,48.1,29.1,9.9,5.7,20.3,31.1,123.4
11,1983,0,LAL,1610612747,"KAREEM ABDUL-JABBAR, MICHAEL COOPER, CALVIN GARRETT, MAGIC JOHNSON, MITCH KUPCHAK, BOB MCADOO, MIKE MCGEE, SWEN NATER, KURT RAMBIS, BYRON SCOTT, LARRY SPRIGGS, JAMAAL WILKES, JAMES WORTHY",13,19753.0,3850,7242,6.737,58.0,226.0,1.4929999999999999,1711,2270,9.486,1095.0,2495.0,3590,2450,722.0,478.0,1561.0,2049,9469,283.1,53.5,101.6,6.737,0.7,3.1,1.4929999999999999,24.3,32.5,9.486,16.1,36.7,52.8,34.5,10.2,6.5,22.5,30.2,132.5
12,1983,0,MIL,1610612749,"NATE ARCHIBALD, RANDY BREUER, JUNIOR BRIDGEMAN, HARVEY CATCHINGS, CHARLIE CRISS, MIKE DUNLEAVY, KEVIN GREVEY, MARQUES JOHNSON, BOB LANIER, ALTON LISTER, PAUL MOKESKI, SIDNEY MONCRIEF, PAUL PRESSEY, LINTON TOWNES",14,18853.0,3266,6607,7.178,55.0,200.0,2.275,1676,2259,9.175,1109.0,2311.0,3420,1920,585.0,480.0,1317.0,2088,8263,295.7,49.8,101.0,7.178,1.8,5.7,2.275,25.3,34.2,9.175,15.6,33.3,48.8,32.7,9.5,6.6,20.2,32.8,126.6
