PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
76003,KAREEM ABDUL-JABBAR,1980,00,1610612747,LAL,34.0,80,80,2976.0,836,1457,0.574,0.0,1.0,0.0,423,552,0.766,197.0,624.0,821,272,59.0,228.0,249.0,244,2095,37.2,10.5,18.2,0.574,0.0,0.0,0.0,5.3,6.9,0.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
76005,TOM ABERNETHY,1980,00,1610612744,GOS,27.0,10,0,39.0,1,3,0.333,0.0,0.0,0.0,2,3,0.667,1.0,7.0,8,1,1.0,0.0,2.0,5,4,3.9,0.1,0.3,0.333,0.0,0.0,0.0,0.2,0.3,0.667,0.1,0.7,0.8,0.1,0.1,0.0,0.2,0.5,0.4
76011,ALVAN ADAMS,1980,00,1610612756,PHX,26.0,75,69,2054.0,458,870,0.526,0.0,0.0,0.0,199,259,0.768,157.0,389.0,546,344,106.0,69.0,226.0,226,1115,27.4,6.1,11.6,0.526,0.0,0.0,0.0,2.7,3.5,0.768,2.1,5.2,7.3,4.6,1.4,0.9,3.0,3.0,14.9
76030,DARRELL ALLUMS,1980,00,1610612742,DAL,22.0,22,3,276.0,23,67,0.343,0.0,1.0,0.0,13,22,0.591,19.0,46.0,65,25,5.0,8.0,23.0,51,59,12.5,1.0,3.0,0.343,0.0,0.0,0.0,0.6,1.0,0.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
76054,NATE ARCHIBALD,1980,00,1610612738,BOS,32.0,80,72,2820.0,382,766,0.499,0.0,9.0,0.0,342,419,0.816,36.0,140.0,176,618,75.0,18.0,265.0,201,1106,35.3,4.8,9.6,0.499,0.0,0.1,0.0,4.3,5.2,0.816,0.5,1.8,2.2,7.7,0.9,0.2,3.3,2.5,13.8
76078,DENNIS AWTREY,1980,00,1610612760,SEA,33.0,47,0,607.0,44,93,0.473,0.0,0.0,0.0,14,20,0.7,33.0,75.0,108,54,12.0,8.0,33.0,85,102,12.9,0.9,2.0,0.473,0.0,0.0,0.0,0.3,0.4,0.7,0.7,1.6,2.3,1.1,0.3,0.2,0.7,1.8,2.2
76085,JAMES BAILEY,1980,00,1610612760,SEA,24.0,82,69,2539.0,444,889,0.499,1.0,2.0,0.5,256,361,0.709,192.0,415.0,607,98,74.0,143.0,219.0,332,1145,31.0,5.4,10.8,0.499,0.0,0.0,0.5,3.1,4.4,0.709,2.3,5.1,7.4,1.2,0.9,1.7,2.7,4.0,14.0
76091,GREG BALLARD,1980,00,1610612764,WAS,26.0,82,71,2610.0,549,1186,0.463,7.0,32.0,0.219,166,196,0.847,167.0,413.0,580,195,118.0,39.0,117.0,194,1271,31.8,6.7,14.5,0.463,0.1,0.4,0.219,2.0,2.4,0.847,2.0,5.0,7.1,2.4,1.4,0.5,1.4,2.4,15.5
76095,MIKE BANTOM,1980,00,1610612754,IND,29.0,76,74,2375.0,431,882,0.489,0.0,6.0,0.0,199,281,0.708,150.0,277.0,427,240,80.0,85.0,197.0,284,1061,31.3,5.7,11.6,0.489,0.0,0.1,0.0,2.6,3.7,0.708,2.0,3.6,5.6,3.2,1.1,1.1,2.6,3.7,14.0
76121,BILLYRAY BATES,1980,00,1610612757,POR,25.0,77,4,1560.0,439,902,0.487,14.0,54.0,0.259,170,199,0.854,71.0,86.0,157,196,82.0,6.0,149.0,120,1062,20.3,5.7,11.7,0.487,0.2,0.7,0.259,2.2,2.6,0.854,0.9,1.1,2.0,2.5,1.1,0.1,1.9,1.6,13.8
76151,MEL BENNETT,1980,00,1610612762,UTH,26.0,28,,313.0,26,60,0.433,0.0,2.0,0.0,53,81,0.654,33.0,60.0,93,15,3.0,11.0,31.0,56,105,11.2,0.9,2.1,0.433,0.0,0.1,0.0,1.9,2.9,0.654,1.2,2.1,3.3,0.5,0.1,0.4,1.1,2.0,3.8
76154,KENT BENSON,1980,00,1610612765,DET,26.0,59,57,1956.0,364,770,0.473,0.0,4.0,0.0,196,254,0.772,124.0,276.0,400,172,72.0,67.0,190.0,184,924,33.2,6.2,13.1,0.473,0.0,0.1,0.0,3.3,4.3,0.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,3.1,15.7
76162,HENRY BIBBY,1980,00,1610612746,SDC,31.0,73,,1112.0,118,306,0.386,32.0,95.0,0.337,67,98,0.684,25.0,49.0,74,200,47.0,2.0,76.0,85,335,15.2,1.6,4.2,0.386,0.4,1.3,0.337,0.9,1.3,0.684,0.3,0.7,1.0,2.7,0.6,0.0,1.0,1.2,4.6
1449,LARRY BIRD,1980,00,1610612738,BOS,24.0,82,82,3239.0,719,1503,0.478,20.0,74.0,0.27,283,328,0.863,191.0,704.0,895,451,161.0,63.0,289.0,239,1741,39.5,8.8,18.3,0.478,0.2,0.9,0.27,3.5,4.0,0.863,2.3,8.6,10.9,5.5,2.0,0.8,3.5,2.9,21.2
76170,OTIS BIRDSONG,1980,00,1610612758,KCK,25.0,71,67,2593.0,710,1306,0.544,10.0,35.0,0.286,317,455,0.697,119.0,139.0,258,233,93.0,18.0,173.0,172,1747,36.5,10.0,18.4,0.544,0.1,0.5,0.286,4.5,6.4,0.697,1.7,2.0,3.6,3.3,1.3,0.3,2.4,2.4,24.6
76174,NORMAN BLACK,1980,00,1610612765,DET,23.0,3,,28.0,3,10,0.3,0.0,0.0,,2,8,0.25,0.0,2.0,2,2,1.0,0.0,1.0,2,8,9.3,1.0,3.3,0.3,0.0,0.0,,0.7,2.7,0.25,0.0,0.7,0.7,0.7,0.3,0.0,0.3,0.7,2.7
