PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
949,SHAREEF ABDUR-RAHIM,2004,00,1610612757,POR,28.0,54,49,1868.0,337,670,0.503,15,39,0.385,220,254,0.866,123,269,392,111,49,26,117,150,909,34.6,6.2,12.4,0.503,0.3,0.7,0.385,4.1,4.7,0.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8,16.8
724,CORY ALEXANDER,2004,00,1610612766,CHA,32.0,16,1,201.0,16,49,0.327,8,19,0.421,9,12,0.75,8,21,29,37,9,1,19,29,49,12.6,1.0,3.1,0.327,0.5,1.2,0.421,0.6,0.8,0.75,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1
2124,MALIK ALLEN,2004,00,1610612748,MIA,27.0,14,0,248.0,35,76,0.461,0,0,0.0,13,14,0.929,24,28,52,11,4,11,11,29,83,17.7,2.5,5.4,0.461,0.0,0.0,0.0,0.9,1.0,0.929,1.7,2.0,3.7,0.8,0.3,0.8,0.8,2.1,5.9
951,RAY ALLEN,2004,00,1610612760,SEA,29.0,78,78,3064.0,640,1494,0.428,209,556,0.376,378,428,0.883,79,268,347,289,84,5,171,167,1867,39.3,8.2,19.2,0.428,2.7,7.1,0.376,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9
2754,TONY ALLEN,2004,00,1610612738,BOS,23.0,77,34,1260.0,184,387,0.475,12,31,0.387,112,152,0.737,85,136,221,64,76,24,77,156,492,16.4,2.4,5.0,0.475,0.2,0.4,0.387,1.5,2.0,0.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4
1747,RAFER ALSTON,2004,00,1610612761,TOR,28.0,80,78,2718.0,403,974,0.414,139,389,0.357,191,258,0.74,42,237,279,514,118,7,170,212,1136,34.0,5.0,12.2,0.414,1.7,4.9,0.357,2.4,3.2,0.74,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2
2365,CHRIS ANDERSEN,2004,00,1610612740,NOH,26.0,67,2,1430.0,191,358,0.534,0,3,0.0,131,190,0.689,137,273,410,71,14,100,64,144,513,21.3,2.9,5.3,0.534,0.0,0.0,0.0,2.0,2.8,0.689,2.0,4.1,6.1,1.1,0.2,1.5,1.0,2.1,7.7
1507,DEREK ANDERSON,2004,00,1610612757,POR,30.0,47,32,1238.0,152,391,0.389,58,151,0.384,70,87,0.805,25,103,128,143,36,4,70,89,432,26.3,3.2,8.3,0.389,1.2,3.2,0.384,1.5,1.9,0.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2
72,KENNY ANDERSON,2004,00,1610612737,ATL,34.0,39,20,718.0,81,190,0.426,6,13,0.462,27,37,0.73,23,60,83,98,33,0,46,81,195,18.4,2.1,4.9,0.426,0.2,0.3,0.462,0.7,0.9,0.73,0.6,1.5,2.1,2.5,0.8,0.0,1.2,2.1,5.0
1000,SHANDON ANDERSON,2004,00,1610612752,NYK,31.0,1,0,20.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,2,0,20.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
2546,CARMELO ANTHONY,2004,00,1610612743,DEN,21.0,75,75,2608.0,530,1230,0.431,42,158,0.266,456,573,0.796,141,285,426,194,68,30,224,229,1558,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8
2737,RAFAEL ARAUJO,2004,00,1610612761,TOR,24.0,59,41,737.0,76,175,0.434,1,3,0.333,43,55,0.782,59,126,185,16,21,8,52,157,196,12.5,1.3,3.0,0.434,0.0,0.1,0.333,0.7,0.9,0.782,1.0,2.1,3.1,0.3,0.4,0.1,0.9,2.7,3.3
2240,GILBERT ARENAS,2004,00,1610612764,WAS,23.0,80,80,3274.0,656,1523,0.431,205,562,0.365,521,640,0.814,83,295,378,411,139,23,242,245,2038,40.9,8.2,19.0,0.431,2.6,7.0,0.365,6.5,8.0,0.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5
2772,TREVOR ARIZA,2004,00,1610612752,NYK,20.0,80,12,1385.0,172,389,0.442,3,13,0.231,121,174,0.695,89,153,242,85,70,18,73,150,468,17.3,2.2,4.9,0.442,0.0,0.2,0.231,1.5,2.2,0.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,5.9
353,DARRELL ARMSTRONG,2004,00,1610612740,NOH,37.0,14,9,412.0,53,159,0.333,17,70,0.243,19,21,0.905,16,32,48,65,15,2,28,30,142,29.4,3.8,11.4,0.333,1.2,5.0,0.243,1.4,1.5,0.905,1.1,2.3,3.4,4.6,1.1,0.1,2.0,2.1,10.1
2306,CARLOS ARROYO,2004,00,1610612762,UTA,25.0,30,16,742.0,93,232,0.401,7,18,0.389,53,63,0.841,11,35,46,152,20,3,55,67,246,24.7,3.1,7.7,0.401,0.2,0.6,0.389,1.8,2.1,0.841,0.4,1.2,1.5,5.1,0.7,0.1,1.8,2.2,8.2
1088,CHUCKY ATKINS,2004,00,1610612747,LAL,30.0,82,82,2904.0,388,910,0.426,176,455,0.387,163,203,0.803,31,166,197,358,73,2,151,181,1115,35.4,4.7,11.1,0.426,2.1,5.5,0.387,2.0,2.5,0.803,0.4,2.0,2.4,4.4,0.9,0.0,1.8,2.2,13.6
278,STACEY AUGMON,2004,00,1610612753,ORL,36.0,55,7,663.0,68,167,0.407,0,0,0.0,57,77,0.74,45,54,99,36,23,8,31,83,193,12.1,1.2,3.0,0.407,0.0,0.0,0.0,1.0,1.4,0.74,0.8,1.0,1.8,0.7,0.4,0.1,0.6,1.5,3.5
2486,MAURICE BAKER,2004,00,1610612746,LAC,25.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,VIN BAKER,2004,00,1610612752,NYK,33.0,24,0,191.0,13,38,0.342,0,1,0.0,7,15,0.467,17,20,37,9,2,4,15,31,33,8.0,0.5,1.6,0.342,0.0,0.0,0.0,0.3,0.6,0.467,0.7,0.8,1.5,0.4,0.1,0.2,0.6,1.3,1.4
2556,MARCUS BANKS,2004,00,1610612738,BOS,23.0,81,2,1144.0,115,286,0.402,21,59,0.356,121,163,0.742,29,97,126,155,63,13,79,146,372,14.1,1.4,3.5,0.402,0.3,0.7,0.356,1.5,2.0,0.742,0.4,1.2,1.6,1.9,0.8,0.2,1.0,1.8,4.6
2571,LEANDRO BARBOSA,2004,00,1610612756,PHX,22.0,63,6,1086.0,168,354,0.475,51,139,0.367,55,69,0.797,32,98,130,126,30,7,87,127,442,17.2,2.7,5.6,0.475,0.8,2.2,0.367,0.9,1.1,0.797,0.5,1.6,2.1,2.0,0.5,0.1,1.4,2.0,7.0
2440,MATT BARNES,2004,00,1610612758,SAC,25.0,43,9,714.0,62,151,0.411,5,22,0.227,35,58,0.603,49,84,133,57,30,7,45,80,164,16.6,1.4,3.5,0.411,0.1,0.5,0.227,0.8,1.3,0.603,1.1,2.0,3.1,1.3,0.7,0.2,1.0,1.9,3.8
2857,ANDRE BARRETT,2004,00,1610612745,HOU,23.0,27,0,314.0,20,69,0.29,9,37,0.243,7,10,0.7,5,14,19,42,14,0,16,35,56,11.6,0.7,2.6,0.29,0.3,1.4,0.243,0.3,0.4,0.7,0.2,0.5,0.7,1.6,0.5,0.0,0.6,1.3,2.1
699,BRENT BARRY,2004,00,1610612759,SAS,33.0,81,8,1742.0,194,459,0.423,100,280,0.357,113,135,0.837,29,161,190,178,39,20,64,123,601,21.5,2.4,5.7,0.423,1.2,3.5,0.357,1.4,1.7,0.837,0.4,2.0,2.3,2.2,0.5,0.2,0.8,1.5,7.4
468,JON BARRY,2004,00,1610612737,ATL,35.0,16,0,276.0,31,77,0.403,11,32,0.344,10,13,0.769,4,17,21,28,14,2,14,28,83,17.3,1.9,4.8,0.403,0.7,2.0,0.344,0.6,0.8,0.769,0.3,1.1,1.3,1.8,0.9,0.1,0.9,1.8,5.2
1499,TONY BATTIE,2004,00,1610612753,ORL,29.0,81,32,1898.0,163,354,0.46,0,6,0.0,68,94,0.723,109,343,452,42,30,81,81,244,394,23.4,2.0,4.4,0.46,0.0,0.1,0.0,0.8,1.2,0.723,1.3,4.2,5.6,0.5,0.4,1.0,1.0,3.0,4.9
2203,SHANE BATTIER,2004,00,1610612763,MEM,26.0,80,72,2516.0,271,613,0.442,70,177,0.395,180,228,0.789,158,255,413,126,91,77,75,201,792,31.5,3.4,7.7,0.442,0.9,2.2,0.395,2.3,2.9,0.789,2.0,3.2,5.2,1.6,1.1,1.0,0.9,2.5,9.9
2437,LONNY BAXTER,2004,00,1610612740,NOH,26.0,4,0,36.0,3,11,0.273,0,0,0.0,0,2,0.0,4,4,8,0,0,0,4,10,6,9.0,0.8,2.8,0.273,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.5,1.5
1952,RAJA BELL,2004,00,1610612762,UTA,28.0,63,32,1789.0,303,667,0.454,54,134,0.403,112,150,0.747,48,153,201,91,44,8,79,205,772,28.4,4.8,10.6,0.454,0.9,2.1,0.403,1.8,2.4,0.747,0.8,2.4,3.2,1.4,0.7,0.1,1.3,3.3,12.3
