,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
0,2007,0,ATL,1610612737,"JOSH CHILDRESS, AL HORFORD, ANTHONY JOHNSON, JOE JOHNSON, SOLOMON JONES, ACIE LAW, TYRONN LUE, ZAZA PACHULIA, JOSH SMITH, SALIM STOUDAMIRE, MARIO WEST, MARVIN WILLIAMS, SHELDEN WILLIAMS, LORENZEN WRIGHT",14,18667.0,2792,6110,5.983,310,879,2.512,1665,2158,10.282,1002,2349,3351,1589,563,446,1084,1604,7559,289.40000000000003,40.6,90.9,5.983,5.1,14.4,2.512,23.7,31.0,10.282,14.6,35.3,50.0,24.599999999999998,8.4,6.1,15.9,26.4,110.1
1,2007,0,BOS,1610612738,"RAY ALLEN, TONY ALLEN, P.J. BROWN, GLEN DAVIS, KEVIN GARNETT, EDDIE HOUSE, KENDRICK PERKINS, PAUL PIERCE, SCOT POLLARD, JAMES POSEY, LEON POWE, GABE PRUITT, RAJON RONDO, BRIAN SCALABRINE",14,19456.0,2936,6156,6.4030000000000005,587,1542,2.718,1656,2151,10.263,825,2589,3414,1798,687,376,1162,1835,8115,285.5,41.8,88.4,6.4030000000000005,8.0,21.5,2.718,23.7,31.1,10.263,13.5,38.3,51.699999999999996,25.2,9.9,5.9,16.6,28.7,115.1
2,2007,0,CHA,1610612766,"DEREK ANDERSON, EARL BOYKINS, PRIMOZ BREZEC, MATT CARROLL, JERMAREO DAVIDSON, JARED DUDLEY, RAYMOND FELTON, OTHELLA HARRINGTON, WALTER HERRMANN, RYAN HOLLINS, JEFF MCINNIS, EMEKA OKAFOR, JASON RICHARDSON, GERALD WALLACE",14,18459.0,2716,6085,6.005,529,1443,2.85,1428,1982,10.168,727,2184,2911,1682,576,350,1045,1583,7389,296.3,41.4,94.5,6.005,7.9,22.0,2.85,21.9,30.2,10.168,11.8,34.4,46.0,26.5,8.7,5.2,16.7,26.6,112.5
3,2007,0,CHI,1610612741,"LUOL DENG, CHRIS DUHON, THOMAS GARDNER, BEN GORDON, AARON GRAY, ADRIAN GRIFFIN, KIRK HINRICH, VIKTOR KHRYAPA, JOAKIM NOAH, ANDRES NOCIONI, THABO SEFOLOSHA, JOE SMITH, TYRUS THOMAS, BEN WALLACE",14,18368.0,2752,6283,6.001,447,1223,2.5829999999999997,1416,1877,9.079,978,2287,3265,1692,582,395,1071,1670,7367,302.3,44.6,102.8,6.001,6.7,19.4,2.5829999999999997,21.7,30.1,9.079,17.8,36.8,54.4,26.5,9.7,6.2,17.6,27.2,118.0
4,2007,0,CLE,1610612739,"LANCE ALLRED, DEVIN BROWN, SHANNON BROWN, KANIEL DICKENS, DANIEL GIBSON, DREW GOODEN, LARRY HUGHES, ZYDRUNAS ILGAUSKAS, LEBRON JAMES, DAMON JONES, DWAYNE JONES, DONYELL MARSHALL, IRA NEWBLE, DEMETRIS NICHOLS, SASHA PAVLOVIC, CEDRIC SIMMONS, ERIC SNOW, ANDERSON VAREJAO",18,17299.0,2635,5998,6.703,500,1398,3.11,1336,1855,10.215,942,2234,3176,1457,512,348,967,1505,7106,342.6,47.0,113.7,6.703,9.3,27.1,3.11,22.9,33.2,10.215,17.5,42.1,59.7,25.5,10.3,7.1000000000000005,18.9,30.8,126.3
5,2007,0,DAL,1610612742,"MAURICE AGER, J.J. BAREA, BRANDON BASS, ERICK DAMPIER, DESAGANA DIOP, NICK FAZEKAS, DEVEAN GEORGE, DEVIN HARRIS, TRENTON HASSELL, JOSH HOWARD, JUWAN HOWARD, EDDIE JONES, DIRK NOWITZKI, JERRY STACKHOUSE, JASON TERRY",15,18012.0,2837,6100,6.563,445,1301,2.992,1623,1983,10.597999999999999,817,2410,3227,1401,421,376,871,1593,7742,293.7,43.6,95.7,6.563,6.8,21.0,2.992,24.7,30.4,10.597999999999999,12.8,37.5,50.2,23.6,7.1,5.6,14.4,26.9,118.7
6,2007,0,DEN,1610612743,"CARMELO ANTHONY, CHUCKY ATKINS, MARCUS CAMBY, ANTHONY CARTER, YAKHOUBA DIAWARA, STEVEN HUNTER, ALLEN IVERSON, LINAS KLEIZA, KENYON MARTIN, JELANI MCCOY, EDUARDO NAJERA, NENE, JR SMITH, VON WAFER, MIKE WILKS",15,19606.0,3278,6965,7.1979999999999995,559,1579,3.734,1865,2487,10.238,907,2665,3572,2010,746,550,1165,1683,8980,308.5,47.9,103.3,7.1979999999999995,8.4,24.4,3.734,26.5,36.6,10.238,14.5,41.6,56.0,29.299999999999997,11.2,8.8,18.5,28.6,130.4
7,2007,0,DET,1610612765,"ARRON AFFLALO, CHAUNCEY BILLUPS, RONALD DUPREE, RICHARD HAMILTON, JARVIS HAYES, LINDSEY HUNTER, AMIR JOHNSON, JASON MAXIELL, ANTONIO MCDYESS, NAZR MOHAMMED, FLIP MURRAY, TAYSHAUN PRINCE, CHEIKH SAMB, RODNEY STUCKEY, RASHEED WALLACE",15,18965.0,2893,6321,6.618,463,1259,2.823,1473,1911,9.866,930,2333,3263,1774,574,451,869,1600,7722,289.3,42.7,93.9,6.618,6.5,18.1,2.823,21.4,28.5,9.866,14.7,34.2,49.1,27.7,9.2,6.9,14.0,26.5,113.5
8,2007,0,GSW,1610612744,"KELENNA AZUBUIKE, MATT BARNES, MARCO BELINELLI, ANDRIS BIEDRINS, AUSTIN CROSHERE, BARON DAVIS, MONTA ELLIS, AL HARRINGTON, TROY HUDSON, STEPHEN JACKSON, STEPHANE LASME, DJ MBENGA, PATRICK O'BRYANT, KOSTA PEROVIC, MICKAEL PIETRUS, C.J. WATSON, CHRIS WEBBER, BRANDAN WRIGHT",18,19780.0,3403,7406,7.558,761,2185,3.747,1538,2044,12.216000000000001,1045,2496,3541,1833,744,377,1063,1875,9105,312.2,50.300000000000004,110.7,7.558,10.9,31.3,3.747,22.8,30.7,12.216000000000001,16.6,40.4,57.2,27.8,11.2,6.8999999999999995,16.9,31.3,134.2
9,2007,0,HOU,1610612745,"RAFER ALSTON, SHANE BATTIER, AARON BROOKS, STEVE FRANCIS, MIKE HARRIS, CHUCK HAYES, LUTHER HEAD, MIKE JAMES, CARL LANDRY, TRACY MCGRADY, DIKEMBE MUTOMBO, STEVE NOVAK, LUIS SCOLA, KIRK SNYDER, BONZI WELLS, LOREN WOODS, YAO MING",17,19214.0,2909,6478,7.925,555,1625,3.1719999999999997,1317,1812,11.061,989,2597,3586,1694,584,418,1041,1564,7690,339.3,51.400000000000006,115.2,7.925,9.2,27.5,3.1719999999999997,24.2,34.2,11.061,18.4,45.4,63.8,29.9,10.2,7.6,18.7,29.0,136.6
