PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
76001,ALAA ABDELNABY,1994,00,1610612758,SAC,27.0,51,0,476.0,117,220,0.532,0,2,0.0,20,35,0.571,34,72,106,13,15,12,40,102,254,9.3,2.3,4.3,0.532,0.0,0.0,0.0,0.4,0.7,0.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2.0,5.0
51,MAHMOUD ABDUL-RAUF,1994,00,1610612743,DEN,26.0,73,43,2082.0,472,1005,0.47,83,215,0.386,138,156,0.885,32,105,137,263,77,9,119,126,1165,28.5,6.5,13.8,0.47,1.1,2.9,0.386,1.9,2.1,0.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0
149,MICHAEL ADAMS,1994,00,1610612766,CHH,32.0,29,0,443.0,67,148,0.453,29,81,0.358,25,30,0.833,6,23,29,95,23,1,26,41,188,15.3,2.3,5.1,0.453,1.0,2.8,0.358,0.9,1.0,0.833,0.2,0.8,1.0,3.3,0.8,0.0,0.9,1.4,6.5
912,RAFAEL ADDISON,1994,00,1610612765,DET,30.0,79,16,1776.0,279,586,0.476,24,83,0.289,74,99,0.747,67,175,242,109,53,25,76,236,656,22.5,3.5,7.4,0.476,0.3,1.1,0.289,0.9,1.3,0.747,0.8,2.2,3.1,1.4,0.7,0.3,1.0,3.0,8.3
76017,DANNY AINGE,1994,00,1610612756,PHX,36.0,74,1,1374.0,194,422,0.46,78,214,0.364,105,130,0.808,25,84,109,210,46,7,79,155,571,18.6,2.6,5.7,0.46,1.1,2.9,0.364,1.4,1.8,0.808,0.3,1.1,1.5,2.8,0.6,0.1,1.1,2.1,7.7
2349,VICTOR ALEXANDER,1994,00,1610612744,GOS,25.0,50,29,1237.0,230,447,0.515,6,25,0.24,36,60,0.6,87,204,291,60,28,29,76,145,502,24.7,4.6,8.9,0.515,0.1,0.5,0.24,0.7,1.2,0.6,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10.0
308,DERRICK ALSTON,1994,00,1610612755,PHL,22.0,64,1,1032.0,120,258,0.465,0,4,0.0,59,120,0.492,98,121,219,33,39,35,53,107,299,16.1,1.9,4.0,0.465,0.0,0.1,0.0,0.9,1.9,0.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7
246,GREG ANDERSON,1994,00,1610612737,ATL,31.0,51,0,622.0,57,104,0.548,0,0,0.0,34,71,0.479,62,126,188,17,23,32,32,103,148,12.2,1.1,2.0,0.548,0.0,0.0,0.0,0.7,1.4,0.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2.0,2.9
72,KENNY ANDERSON,1994,00,1610612751,NJN,24.0,72,70,2689.0,411,1031,0.399,97,294,0.33,348,414,0.841,73,177,250,680,103,14,225,184,1267,37.3,5.7,14.3,0.399,1.3,4.1,0.33,4.8,5.8,0.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6
98,NICK ANDERSON,1994,00,1610612753,ORL,27.0,76,76,2588.0,439,923,0.476,179,431,0.415,143,203,0.704,85,250,335,314,125,22,141,124,1200,34.1,5.8,12.1,0.476,2.4,5.7,0.415,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8
