PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
51,MAHMOUD ABDUL-RAUF,1997,00,1610612758,SAC,29.0,31,0,530.0,103,273,0.377,5,31,0.161,16,16,1.0,6,31,37,58,16,1,19,31,227,17.1,3.3,8.8,0.377,0.2,1.0,0.161,0.5,0.5,1.0,0.2,1.0,1.2,1.9,0.5,0.0,0.6,1.0,7.3
1505,TARIQ ABDUL-WAHAD,1997,00,1610612758,SAC,23.0,59,16,959.0,144,357,0.403,4,19,0.211,84,125,0.672,44,72,116,51,35,13,65,81,376,16.3,2.4,6.1,0.403,0.1,0.3,0.211,1.4,2.1,0.672,0.7,1.2,2.0,0.9,0.6,0.2,1.1,1.4,6.4
949,SHAREEF ABDUR-RAHIM,1997,00,1610612763,VAN,21.0,82,82,2950.0,653,1347,0.485,21,51,0.412,502,640,0.784,227,354,581,213,89,76,257,201,1829,36.0,8.0,16.4,0.485,0.3,0.6,0.412,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3
724,CORY ALEXANDER,1997,00,1610612759,SAS,25.0,37,3,501.0,60,145,0.414,20,64,0.313,25,37,0.676,7,40,47,71,25,5,47,53,165,13.5,1.6,3.9,0.414,0.5,1.7,0.313,0.7,1.0,0.676,0.2,1.1,1.3,1.9,0.7,0.1,1.3,1.4,4.5
951,RAY ALLEN,1997,00,1610612749,MIL,22.0,82,82,3287.0,563,1315,0.428,134,368,0.364,342,391,0.875,127,278,405,356,111,12,263,244,1602,40.1,6.9,16.0,0.428,1.6,4.5,0.364,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3.0,19.5
1507,DEREK ANDERSON,1997,00,1610612739,CLE,23.0,66,13,1839.0,239,586,0.408,17,84,0.202,275,315,0.873,55,132,187,227,86,13,128,136,770,27.9,3.6,8.9,0.408,0.3,1.3,0.202,4.2,4.8,0.873,0.8,2.0,2.8,3.4,1.3,0.2,1.9,2.1,11.7
246,GREG ANDERSON,1997,00,1610612737,ATL,34.0,50,0,398.0,36,81,0.444,0,5,0.0,16,41,0.39,39,79,118,15,19,10,17,85,88,8.0,0.7,1.6,0.444,0.0,0.1,0.0,0.3,0.8,0.39,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8
72,KENNY ANDERSON,1997,00,1610612757,POR,27.0,45,40,1472.0,204,527,0.387,47,133,0.353,112,145,0.772,36,98,134,245,61,1,114,99,567,32.7,4.5,11.7,0.387,1.0,3.0,0.353,2.5,3.2,0.772,0.8,2.2,3.0,5.4,1.4,0.0,2.5,2.2,12.6
98,NICK ANDERSON,1997,00,1610612753,ORL,30.0,58,44,1701.0,343,754,0.455,77,214,0.36,127,199,0.638,98,199,297,119,72,23,85,98,890,29.3,5.9,13.0,0.455,1.3,3.7,0.36,2.2,3.4,0.638,1.7,3.4,5.1,2.1,1.2,0.4,1.5,1.7,15.3
1000,SHANDON ANDERSON,1997,00,1610612762,UTA,24.0,82,2,1602.0,269,500,0.538,7,32,0.219,136,185,0.735,86,141,227,89,66,18,91,145,681,19.5,3.3,6.1,0.538,0.1,0.4,0.219,1.7,2.3,0.735,1.0,1.7,2.8,1.1,0.8,0.2,1.1,1.8,8.3
1512,CHRIS ANSTEY,1997,00,1610612742,DAL,23.0,41,8,680.0,92,231,0.398,3,16,0.188,53,74,0.716,53,104,157,35,31,27,41,95,240,16.6,2.2,5.6,0.398,0.1,0.4,0.188,1.3,1.8,0.716,1.3,2.5,3.8,0.9,0.8,0.7,1.0,2.3,5.9
21,GREG ANTHONY,1997,00,1610612760,SEA,30.0,80,0,1021.0,150,349,0.43,66,159,0.415,53,80,0.663,18,93,111,205,64,3,91,97,419,12.8,1.9,4.4,0.43,0.8,2.0,0.415,0.7,1.0,0.663,0.2,1.2,1.4,2.6,0.8,0.0,1.1,1.2,5.2
769,B.J. ARMSTRONG,1997,00,1610612744,GSW,30.0,4,0,59.0,6,19,0.316,0,1,0.0,5,7,0.714,4,3,7,6,4,0,7,6,17,14.8,1.5,4.8,0.316,0.0,0.3,0.0,1.3,1.8,0.714,1.0,0.8,1.8,1.5,1.0,0.0,1.8,1.5,4.3
353,DARRELL ARMSTRONG,1997,00,1610612753,ORL,30.0,48,17,1236.0,156,380,0.411,25,68,0.368,105,123,0.854,65,94,159,236,58,5,112,96,442,25.8,3.3,7.9,0.411,0.5,1.4,0.368,2.2,2.6,0.854,1.4,2.0,3.3,4.9,1.2,0.1,2.3,2.0,9.2
355,VINCENT ASKEW,1997,00,1610612757,POR,32.0,30,5,443.0,19,54,0.352,0,2,0.0,28,39,0.718,21,47,68,38,19,5,35,39,66,14.8,0.6,1.8,0.352,0.0,0.1,0.0,0.9,1.3,0.718,0.7,1.6,2.3,1.3,0.6,0.2,1.2,1.3,2.2
173,KEITH ASKINS,1997,00,1610612748,MIA,30.0,46,12,681.0,39,122,0.32,21,74,0.284,12,19,0.632,28,73,101,29,27,12,26,107,111,14.8,0.8,2.7,0.32,0.5,1.6,0.284,0.3,0.4,0.632,0.6,1.6,2.2,0.6,0.6,0.3,0.6,2.3,2.4
278,STACEY AUGMON,1997,00,1610612757,POR,29.0,71,23,1445.0,154,372,0.414,1,7,0.143,94,156,0.603,104,131,235,88,57,32,81,144,403,20.4,2.2,5.2,0.414,0.0,0.1,0.143,1.3,2.2,0.603,1.5,1.8,3.3,1.2,0.8,0.5,1.1,2.0,5.7
1134,IKE AUSTIN,1997,00,1610612748,MIA,28.0,52,25,1371.0,252,532,0.474,0,3,0.0,155,228,0.68,119,211,330,87,43,34,117,162,659,26.4,4.8,10.2,0.474,0.0,0.1,0.0,3.0,4.4,0.68,2.3,4.1,6.3,1.7,0.8,0.7,2.3,3.1,12.7
452,VIN BAKER,1997,00,1610612760,SEA,26.0,82,82,2944.0,631,1164,0.542,1,7,0.143,311,526,0.591,286,370,656,152,91,86,174,278,1574,35.9,7.7,14.2,0.542,0.0,0.1,0.143,3.8,6.4,0.591,3.5,4.5,8.0,1.9,1.1,1.0,2.1,3.4,19.2
787,CHARLES BARKLEY,1997,00,1610612745,HOU,35.0,68,41,2243.0,361,744,0.485,18,84,0.214,296,397,0.746,241,553,794,217,71,28,147,187,1036,33.0,5.3,10.9,0.485,0.3,1.2,0.214,4.4,5.8,0.746,3.5,8.1,11.7,3.2,1.0,0.4,2.2,2.8,15.2
344,DANA BARROS,1997,00,1610612738,BOS,31.0,80,15,1686.0,281,609,0.461,100,246,0.407,122,144,0.847,28,125,153,286,83,6,107,124,784,21.1,3.5,7.6,0.461,1.3,3.1,0.407,1.5,1.8,0.847,0.4,1.6,1.9,3.6,1.0,0.1,1.3,1.6,9.8
699,BRENT BARRY,1997,00,1610612746,LAC,26.0,41,36,1341.0,190,444,0.428,78,195,0.4,103,122,0.844,27,116,143,132,50,23,95,88,561,32.7,4.6,10.8,0.428,1.9,4.8,0.4,2.5,3.0,0.844,0.7,2.8,3.5,3.2,1.2,0.6,2.3,2.1,13.7
