,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,949,SHAREEF ABDUR-RAHIM,2007,0,1610612758,SAC,31.0,6,0,51.0,3,14,0.214,0,0,0.0,4,4,1.0,6,4,10,4,1,0,1,9,10,8.4,0.5,2.3,0.214,0.0,0.0,0.0,0.7,0.7,1.0,1.0,0.7,1.7,0.7,0.2,0.0,0.2,1.5,1.7,0.31725888324873097,0.21428571428571427,0.45098039215686275,3.283138311484284e-06
1,201167,ARRON AFFLALO,2007,0,1610612765,DET,22.0,75,9,970.0,99,241,0.411,10,48,0.208,68,87,0.782,36,101,137,52,31,8,34,83,276,12.9,1.3,3.2,0.411,0.1,0.6,0.208,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,0.49412775708965917,0.4315352697095436,0.44432989690721647,0.0018280925214750683
2,200772,MAURICE AGER,2007,0,1610612742,DAL,24.0,12,3,77.0,5,27,0.185,0,8,0.0,5,6,0.833,1,3,4,4,0,1,3,11,15,6.4,0.4,2.3,0.185,0.0,0.7,0.0,0.4,0.5,0.833,0.1,0.3,0.3,0.3,0.0,0.1,0.3,0.9,1.3,0.25303643724696356,0.18518518518518517,0.2597402597402597,8.282603640972324e-06
3,201336,BLAKE AHEARN,2007,0,1610612748,MIA,24.0,12,0,177.0,15,57,0.263,10,34,0.294,30,31,0.968,1,18,19,19,6,0,16,20,70,14.8,1.3,4.8,0.263,0.8,2.8,0.294,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0.0,1.3,1.7,5.8,0.49546998867497166,0.3508771929824561,0.519774011299435,9.533051736679659e-05
4,200746,LAMARCUS ALDRIDGE,2007,0,1610612757,POR,22.0,76,76,2649.0,561,1160,0.484,1,7,0.143,227,298,0.762,220,358,578,122,55,94,126,240,1350,34.9,7.4,15.3,0.484,0.0,0.1,0.143,3.0,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8,0.5228019084205962,0.484051724137931,0.7263118157795394,0.02310594743850044
5,2124,MALIK ALLEN,2007,0,1610612751,NJN,30.0,48,12,763.0,124,261,0.475,1,2,0.5,12,13,0.923,42,86,128,29,15,21,32,89,261,15.9,2.6,5.4,0.475,0.0,0.0,0.5,0.3,0.3,0.923,0.9,1.8,2.7,0.6,0.3,0.4,0.7,1.9,5.4,0.48927714457108573,0.47701149425287354,0.5058977719528178,0.001542055276900799
6,951,RAY ALLEN,2007,0,1610612738,BOS,32.0,73,73,2624.0,439,986,0.445,180,452,0.398,215,237,0.907,75,193,268,225,65,16,127,147,1273,35.9,6.0,13.5,0.445,2.5,6.2,0.398,2.9,3.2,0.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.4,0.5837949884433357,0.5365111561866126,0.6246189024390244,0.021156808379544055
7,2754,TONY ALLEN,2007,0,1610612738,BOS,26.0,75,11,1373.0,169,389,0.434,18,57,0.316,138,181,0.762,34,134,168,114,62,21,109,168,494,18.3,2.3,5.2,0.434,0.2,0.8,0.316,1.8,2.4,0.762,0.5,1.8,2.2,1.5,0.8,0.3,1.5,2.2,6.6,0.5270570160464323,0.45758354755784064,0.4857975236707939,0.004295912276648182
8,200984,LANCE ALLRED,2007,0,1610612739,CLE,27.0,3,0,10.0,1,4,0.25,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,3,3.4,0.3,1.3,0.25,0.0,0.0,0.0,0.3,0.7,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,0.3073770491803279,0.25,0.4,2.440478875971398e-07
9,201165,MORRIS ALMOND,2007,0,1610612762,UTA,23.0,9,0,39.0,4,15,0.267,1,4,0.25,4,6,0.667,0,2,2,3,1,0,2,5,13,4.4,0.4,1.7,0.267,0.1,0.4,0.25,0.4,0.7,0.667,0.0,0.2,0.2,0.3,0.1,0.0,0.2,0.6,1.4,0.36848072562358275,0.3,0.41025641025641024,3.311129175377973e-06
10,1747,RAFER ALSTON,2007,0,1610612745,HOU,31.0,74,74,2526.0,364,924,0.394,143,407,0.351,98,137,0.715,28,232,260,392,98,18,160,139,969,34.1,4.9,12.5,0.394,1.9,5.5,0.351,1.3,1.9,0.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,1.9,13.1,0.4922379810622994,0.4713203463203463,0.5783847980997625,0.01656582225005797
11,200811,LOU AMUNDSON,2007,0,1610612755,PHI,25.0,16,0,64.0,8,16,0.5,0,0,0.0,2,7,0.286,7,5,12,0,1,1,2,13,18,4.0,0.5,1.0,0.5,0.0,0.0,0.0,0.1,0.4,0.286,0.4,0.3,0.8,0.0,0.1,0.1,0.1,0.8,1.1,0.47169811320754723,0.5,0.4375,7.43607348983643e-06
12,2365,CHRIS ANDERSEN,2007,0,1610612740,NOH,29.0,5,0,34.0,2,7,0.286,0,0,0.0,2,4,0.5,2,7,9,0,0,4,1,6,6,6.8,0.4,1.4,0.286,0.0,0.0,0.0,0.4,0.8,0.5,0.4,1.4,1.8,0.0,0.0,0.8,0.2,1.2,1.2,0.3424657534246575,0.2857142857142857,0.4117647058823529,1.3258487869458489e-06
13,1507,DEREK ANDERSON,2007,0,1610612766,CHA,33.0,28,0,396.0,47,125,0.376,19,52,0.365,28,38,0.737,9,43,52,44,12,1,25,49,141,14.1,1.7,4.5,0.376,0.7,1.9,0.365,1.0,1.4,0.737,0.3,1.5,1.9,1.6,0.4,0.0,0.9,1.8,5.0,0.49745977984758677,0.452,0.5353535353535354,0.00040937419394557737
14,2546,CARMELO ANTHONY,2007,0,1610612743,DEN,24.0,77,77,2806.0,728,1481,0.492,58,164,0.354,464,590,0.786,178,393,571,259,98,39,253,253,1978,36.4,9.5,19.2,0.492,0.8,2.1,0.354,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7,0.5681948753303458,0.5111411208642809,0.9105488239486814,0.03152452989823805
15,201202,JOEL ANTHONY,2007,0,1610612748,MIA,25.0,24,1,498.0,28,60,0.467,0,0,0.0,29,49,0.592,38,55,93,3,9,31,17,55,85,20.8,1.2,2.5,0.467,0.0,0.0,0.0,1.2,2.0,0.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5,0.5210887690044139,0.4666666666666667,0.3293172690763052,0.0003256933656284504
16,2240,GILBERT ARENAS,2007,0,1610612764,WAS,26.0,13,8,425.0,78,196,0.398,22,78,0.282,74,96,0.771,6,45,51,66,23,1,49,30,252,32.7,6.0,15.1,0.398,1.7,6.0,0.282,5.7,7.4,0.771,0.5,3.5,3.9,5.1,1.8,0.1,3.8,2.3,19.4,0.5288784419073204,0.45408163265306123,0.7529411764705882,0.0006657531489144895
17,2772,TREVOR ARIZA,2007,0,1610612753,ORL,23.0,11,0,115.0,14,31,0.452,0,3,0.0,8,15,0.533,5,19,24,8,5,3,5,9,36,10.5,1.3,2.8,0.452,0.0,0.3,0.0,0.7,1.4,0.533,0.5,1.7,2.2,0.7,0.5,0.3,0.5,0.8,3.3,0.4787234042553191,0.45161290322580644,0.5478260869565217,3.0512841262913232e-05
18,353,DARRELL ARMSTRONG,2007,0,1610612751,NJN,40.0,50,2,549.0,40,110,0.364,23,69,0.333,20,30,0.667,17,50,67,73,28,2,41,53,123,11.0,0.8,2.2,0.364,0.5,1.4,0.333,0.4,0.6,0.667,0.3,1.0,1.3,1.5,0.6,0.0,0.8,1.1,2.5,0.4991883116883117,0.4681818181818182,0.40437158469945356,0.0005228924274681021
19,200756,HILTON ARMSTRONG,2007,0,1610612740,NOH,23.0,65,3,732.0,67,148,0.453,0,0,0.0,44,70,0.629,65,98,163,23,15,34,59,130,178,11.3,1.0,2.3,0.453,0.0,0.0,0.0,0.7,1.1,0.629,1.0,1.5,2.5,0.4,0.2,0.5,0.9,2.0,2.7,0.4977628635346756,0.4527027027027027,0.4166666666666667,0.0008468274193328251
20,2306,CARLOS ARROYO,2007,0,1610612753,ORL,28.0,62,20,1269.0,157,348,0.451,29,84,0.345,87,102,0.853,10,103,113,219,26,2,77,85,430,20.5,2.5,5.6,0.451,0.5,1.4,0.345,1.4,1.6,0.853,0.2,1.7,1.8,3.5,0.4,0.0,1.2,1.4,6.9,0.5472408878028915,0.492816091954023,0.5397951142631994,0.004021725142979195
21,1088,CHUCKY ATKINS,2007,0,1610612743,DEN,33.0,24,0,352.0,42,122,0.344,25,79,0.316,4,9,0.444,3,28,31,47,9,1,10,27,113,14.7,1.8,5.1,0.344,1.0,3.3,0.316,0.2,0.4,0.444,0.1,1.2,1.3,2.0,0.4,0.0,0.4,1.1,4.7,0.4485550968561448,0.44672131147540983,0.5142045454545454,0.00022592056838198024
22,200788,JAMES AUGUSTINE,2007,0,1610612753,ORL,24.0,25,0,149.0,18,34,0.529,0,0,0.0,4,8,0.5,16,14,30,2,5,2,6,18,40,6.0,0.7,1.4,0.529,0.0,0.0,0.0,0.2,0.3,0.5,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6,0.5330490405117271,0.5294117647058824,0.4429530201342282,4.39266990161746e-05
23,101235,KELENNA AZUBUIKE,2007,0,1610612744,GSW,24.0,81,17,1732.0,261,587,0.445,71,195,0.364,99,138,0.717,107,217,324,75,45,34,58,159,692,21.4,3.2,7.2,0.445,0.9,2.4,0.364,1.2,1.7,0.717,1.3,2.7,4.0,0.9,0.6,0.4,0.7,2.0,8.5,0.5341814364231458,0.5051107325383305,0.5964203233256351,0.006654995172043495
24,200764,RENALDO BALKMAN,2007,0,1610612752,NYK,23.0,65,0,952.0,91,186,0.489,1,12,0.083,41,95,0.432,83,133,216,40,44,30,37,132,224,14.6,1.4,2.9,0.489,0.0,0.2,0.083,0.6,1.5,0.432,1.3,2.0,3.3,0.6,0.7,0.5,0.6,2.0,3.4,0.4916593503072871,0.49193548387096775,0.4653361344537815,0.0013494818219644872
25,2556,MARCUS BANKS,2007,0,1610612756,PHX,26.0,24,1,310.0,44,109,0.404,25,65,0.385,12,16,0.75,3,17,20,25,8,8,16,38,125,12.9,1.8,4.5,0.404,1.0,2.7,0.385,0.5,0.7,0.75,0.1,0.7,0.8,1.0,0.3,0.3,0.7,1.6,5.2,0.5386073767666322,0.518348623853211,0.4967741935483871,0.0002467995904846434
26,2571,LEANDRO BARBOSA,2007,0,1610612756,PHX,25.0,82,12,2421.0,472,1021,0.462,164,422,0.389,175,213,0.822,40,191,231,216,75,18,117,195,1283,29.5,5.8,12.5,0.462,2.0,5.1,0.389,2.1,2.6,0.822,0.5,2.3,2.8,2.6,0.9,0.2,1.4,2.4,15.6,0.5754808382374049,0.5426052889324192,0.6662536142090045,0.01978309213901269
