,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,1505,TARIQ ABDUL-WAHAD,1998,0,1610612758,SAC,24.0,49,49,1205.0,177,407,0.435,6,21,0.286,94,136,0.691,72,114,186,50,50,16,70,121,454,24.6,3.6,8.3,0.435,0.1,0.4,0.286,1.9,2.8,0.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3,0.486247965041556,0.44226044226044225,0.5145228215767634,0.0089522466118364
1,949,SHAREEF ABDUR-RAHIM,1998,0,1610612763,VAN,22.0,50,50,2021.0,386,893,0.432,11,36,0.306,369,439,0.841,114,260,374,172,69,55,186,137,1152,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,0.5303086101495176,0.4384098544232923,0.748144482929243,0.0455876845862598
2,724,CORY ALEXANDER,1998,0,1610612743,DEN,26.0,36,4,778.0,97,260,0.373,30,105,0.286,37,44,0.841,7,67,74,119,35,5,69,77,261,21.6,2.7,7.2,0.373,0.8,2.9,0.286,1.0,1.2,0.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3,0.4671391752577319,0.4307692307692308,0.4948586118251928,0.0037414597474959652
3,951,RAY ALLEN,1998,0,1610612749,MIL,23.0,50,50,1719.0,303,673,0.45,74,208,0.356,176,195,0.903,57,155,212,178,53,7,122,117,856,34.4,6.1,13.5,0.45,1.5,4.2,0.356,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,0.5640484976278335,0.5052005943536404,0.6538685282140779,0.03368585494857087
4,1824,PETER ALUMA,1998,0,1610612758,SAC,26.0,2,0,5.0,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,1,2,4,2,2.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0,0.5,0.5,0.4,1.636398744554883e-07
5,1507,DEREK ANDERSON,1998,0,1610612739,CLE,24.0,38,13,978.0,125,314,0.398,21,69,0.304,138,165,0.836,20,89,109,145,48,4,82,73,409,25.7,3.3,8.3,0.398,0.6,1.8,0.304,3.6,4.3,0.836,0.5,2.3,2.9,3.8,1.3,0.1,2.2,1.9,10.8,0.5289705121572684,0.4315286624203822,0.5940695296523517,0.009579841737973863
6,72,KENNY ANDERSON,1998,0,1610612738,BOS,28.0,34,33,1010.0,161,357,0.451,6,24,0.25,84,101,0.832,24,79,103,193,33,2,71,78,412,29.7,4.7,10.5,0.451,0.2,0.7,0.25,2.5,3.0,0.832,0.7,2.3,3.0,5.7,1.0,0.1,2.1,2.3,12.1,0.5131526504583499,0.45938375350140054,0.6306930693069307,0.008960344253618309
7,98,NICK ANDERSON,1998,0,1610612753,ORL,31.0,47,39,1581.0,253,640,0.395,96,277,0.347,99,162,0.611,51,226,277,91,64,15,83,72,701,33.6,5.4,13.6,0.395,2.0,5.9,0.347,2.1,3.4,0.611,1.1,4.8,5.9,1.9,1.4,0.3,1.8,1.5,14.9,0.4927735912720729,0.4703125,0.6236559139784946,0.021112050964522764
8,1000,SHANDON ANDERSON,1998,0,1610612762,UTA,25.0,50,2,1072.0,162,363,0.446,14,41,0.341,89,125,0.712,49,83,132,56,39,10,66,89,427,21.4,3.2,7.3,0.446,0.3,0.8,0.341,1.8,2.5,0.712,1.0,1.7,2.6,1.1,0.8,0.2,1.3,1.8,8.5,0.5107655502392344,0.465564738292011,0.5121268656716418,0.008057660334579919
9,1512,CHRIS ANSTEY,1998,0,1610612742,DAL,24.0,41,4,470.0,50,139,0.36,0,7,0.0,34,48,0.708,35,62,97,27,18,13,26,98,134,11.5,1.2,3.4,0.36,0.0,0.2,0.0,0.8,1.2,0.708,0.9,1.5,2.4,0.7,0.4,0.3,0.6,2.4,3.3,0.41843617287034723,0.3597122302158273,0.49361702127659574,0.0011385581728111838
