,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,76001,ALAA ABDELNABY,1993,0,1610612738,BOS,26.0,13,0,159.0,24,55,0.436,0.0,0.0,0.0,16,25,0.64,12,34,46,3,2,3,17.0,20,64,12.2,1.8,4.2,0.436,0.0,0.0,0.0,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9,0.48484848484848486,0.43636363636363634,0.6037735849056604,6.213192512692718e-05
1,51,MAHMOUD ABDUL-RAUF,1993,0,1610612743,DEN,25.0,80,78,2617.0,588,1279,0.46,42.0,133.0,0.316,219,229,0.956,27,141,168,362,82,10,151.0,150,1437,32.7,7.4,16.0,0.46,0.5,1.7,0.316,2.7,2.9,0.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0,0.5207427378674552,0.4761532447224394,0.6939243408482996,0.023155747679170804
2,149,MICHAEL ADAMS,1993,0,1610612764,WAS,31.0,70,67,2337.0,285,698,0.408,55.0,191.0,0.288,224,270,0.83,37,146,183,480,96,6,167.0,140,849,33.4,4.1,10.0,0.408,0.8,2.7,0.288,3.2,3.9,0.83,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2.0,12.1,0.5197110675808032,0.4477077363896848,0.5755241762943946,0.012765004478948941
3,76016,MARK AGUIRRE,1993,0,1610612746,LAC,34.0,39,0,859.0,163,348,0.468,37.0,93.0,0.398,50,72,0.694,28,88,116,104,21,8,70.0,98,413,22.0,4.2,8.9,0.468,0.9,2.4,0.398,1.3,1.8,0.694,0.7,2.3,3.0,2.7,0.5,0.2,1.8,2.5,10.6,0.5438790560471977,0.521551724137931,0.6554132712456344,0.0024402227384982458
4,76017,DANNY AINGE,1993,0,1610612756,PHX,35.0,68,1,1555.0,224,537,0.417,80.0,244.0,0.328,78,94,0.83,28,103,131,180,57,8,81.0,140,606,22.9,3.3,7.9,0.417,1.2,3.6,0.328,1.1,1.4,0.83,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9,0.5238951518085622,0.49162011173184356,0.5376205787781351,0.005387772940644676
5,76022,GARY ALEXANDER,1993,0,1610612748,MIA,24.0,4,0,12.0,1,2,0.5,0.0,0.0,0.0,0,2,0.0,1,2,3,1,0,0,1.0,3,2,3.0,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.8,0.5,0.3472222222222222,0.5,0.4166666666666667,1.4298704403330707e-07
6,2349,VICTOR ALEXANDER,1993,0,1610612744,GOS,24.0,69,39,1318.0,266,502,0.53,2.0,13.0,0.154,68,129,0.527,114,194,308,66,28,32,86.0,168,602,19.1,3.9,7.3,0.53,0.0,0.2,0.154,1.0,1.9,0.527,1.7,2.8,4.5,1.0,0.4,0.5,1.2,2.4,8.7,0.5386928198153054,0.5318725099601593,0.6752655538694993,0.004567277936519397
7,944,ERIC ANDERSON,1993,0,1610612752,NYK,24.0,11,0,39.0,7,17,0.412,2.0,2.0,1.0,5,14,0.357,6,11,17,2,0,1,2.0,9,21,3.5,0.6,1.5,0.412,0.2,0.2,1.0,0.5,1.3,0.357,0.5,1.0,1.5,0.2,0.0,0.1,0.2,0.8,1.9,0.4533678756476684,0.47058823529411764,0.9743589743589743,5.8406459551893665e-06
8,246,GREG ANDERSON,1993,0,1610612765,DET,30.0,77,47,1624.0,201,370,0.543,1.0,3.0,0.333,88,154,0.571,183,388,571,51,55,68,94.0,234,491,21.1,2.6,4.8,0.543,0.0,0.0,0.333,1.1,2.0,0.571,2.4,5.0,7.4,0.7,0.7,0.9,1.2,3.0,6.4,0.5608095760233919,0.5445945945945946,0.6274630541871922,0.005606975149540796
9,72,KENNY ANDERSON,1993,0,1610612751,NJN,23.0,82,82,3135.0,576,1381,0.417,40.0,132.0,0.303,346,423,0.818,89,233,322,784,158,15,266.0,201,1538,38.2,7.0,16.8,0.417,0.5,1.6,0.303,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8,0.49070907141763237,0.43157132512671975,0.7585326953748006,0.03305750752880461
10,98,NICK ANDERSON,1993,0,1610612753,ORL,26.0,81,81,2811.0,504,1054,0.478,101.0,314.0,0.322,168,250,0.672,113,363,476,294,134,33,165.0,148,1277,34.7,6.2,13.0,0.478,1.2,3.9,0.322,2.1,3.1,0.672,1.4,4.5,5.9,3.6,1.7,0.4,2.0,1.8,15.8,0.5485395189003437,0.5260910815939279,0.6695126289576663,0.0221067068441483
11,76046,RON ANDERSON,1993,0,1610612751,NJN,35.0,11,2,176.0,15,43,0.349,4.0,12.0,0.333,10,12,0.833,8,18,26,6,5,2,1.0,9,44,16.0,1.4,3.9,0.349,0.4,1.1,0.333,0.9,1.1,0.833,0.7,1.6,2.4,0.5,0.5,0.2,0.1,0.8,4.0,0.4556752278376139,0.3953488372093023,0.42613636363636365,5.309352611109995e-05
12,335,WILLIE ANDERSON,1993,0,1610612759,SAN,27.0,80,79,2488.0,394,837,0.471,22.0,68.0,0.324,145,171,0.848,68,174,242,347,71,46,153.0,187,955,31.1,4.9,10.5,0.471,0.3,0.9,0.324,1.8,2.1,0.848,0.9,2.2,3.0,4.3,0.9,0.6,1.9,2.3,11.9,0.523436814873279,0.4838709677419355,0.5590836012861736,0.017017278047686966
13,21,GREG ANTHONY,1993,0,1610612752,NYK,26.0,80,36,1994.0,225,571,0.394,48.0,160.0,0.3,130,168,0.774,43,146,189,365,114,13,127.0,163,628,24.9,2.8,7.1,0.394,0.6,2.0,0.3,1.6,2.1,0.774,0.5,1.8,2.4,4.6,1.4,0.2,1.6,2.0,7.9,0.4868820939031198,0.436077057793345,0.529087261785356,0.008930212168203529
14,769,B.J. ARMSTRONG,1993,0,1610612741,CHI,26.0,82,82,2770.0,479,1007,0.476,60.0,135.0,0.444,194,227,0.855,28,142,170,323,80,9,131.0,147,1212,33.8,5.8,12.3,0.476,0.7,1.6,0.444,2.4,2.8,0.855,0.3,1.7,2.1,3.9,1.0,0.1,1.6,1.8,14.8,0.5474848222029488,0.5054617676266137,0.5682310469314079,0.022256762855790802
15,355,VINCENT ASKEW,1993,0,1610612760,SEA,28.0,80,3,1690.0,273,567,0.481,6.0,31.0,0.194,175,211,0.829,60,124,184,194,73,19,70.0,145,727,21.1,3.4,7.1,0.481,0.1,0.4,0.194,2.2,2.6,0.829,0.8,1.6,2.3,2.4,0.9,0.2,0.9,1.8,9.1,0.5508911251212415,0.48677248677248675,0.6124260355029586,0.007168432641162193
16,173,KEITH ASKINS,1993,0,1610612748,MIA,26.0,37,0,319.0,36,88,0.409,4.0,21.0,0.19,9,10,0.9,33,49,82,13,11,1,21.0,57,85,8.6,1.0,2.4,0.409,0.1,0.6,0.19,0.2,0.3,0.9,0.9,1.3,2.2,0.4,0.3,0.0,0.6,1.5,2.3,0.45995670995670995,0.4318181818181818,0.49843260188087773,0.00016154557079013003
17,278,STACEY AUGMON,1993,0,1610612737,ATL,25.0,82,82,2605.0,439,861,0.51,1.0,7.0,0.143,333,436,0.764,178,216,394,187,149,45,147.0,179,1212,31.8,5.4,10.5,0.51,0.0,0.1,0.143,4.1,5.3,0.764,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8,0.575586033965275,0.5104529616724739,0.6318618042226487,0.021200126478523255
18,1134,IKE AUSTIN,1993,0,1610612755,PHL,24.0,14,0,201.0,29,66,0.439,0.0,1.0,0.0,14,23,0.609,25,44,69,17,5,10,17.0,29,72,14.4,2.1,4.7,0.439,0.0,0.1,0.0,1.0,1.6,0.609,1.8,3.1,4.9,1.2,0.4,0.7,1.2,2.1,5.1,0.4729374671571203,0.4393939393939394,0.7014925373134329,0.00010136315726175163
19,138,ANTHONY AVENT,1993,0,1610612749,MIL,24.0,33,20,695.0,92,228,0.404,0.0,0.0,0.0,61,79,0.772,60,94,154,33,16,20,43.0,60,245,21.1,2.8,6.9,0.404,0.0,0.0,0.0,1.8,2.4,0.772,1.8,2.8,4.7,1.0,0.5,0.6,1.3,1.8,7.4,0.46620490181153906,0.40350877192982454,0.5597122302158274,0.0011313738715272362
20,76082,JOHN BAGLEY,1993,0,1610612737,ATL,34.0,3,0,13.0,0,2,0.0,0.0,0.0,0.0,2,2,1.0,0,1,1,3,0,0,0.0,2,2,4.3,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,0.3472222222222222,0.0,0.46153846153846156,1.7458279914913713e-07
21,1847,THURL BAILEY,1993,0,1610612750,MIN,33.0,79,3,1297.0,232,455,0.51,0.0,2.0,0.0,119,149,0.799,66,149,215,54,20,58,58.0,93,583,16.4,2.9,5.8,0.51,0.0,0.0,0.0,1.5,1.9,0.799,0.8,1.9,2.7,0.7,0.3,0.7,0.7,1.2,7.4,0.5599738742892271,0.5098901098901099,0.6121819583654587,0.0050996720014544914
22,452,VIN BAKER,1993,0,1610612749,MIL,22.0,82,63,2560.0,435,869,0.501,1.0,5.0,0.2,234,411,0.569,277,344,621,163,60,114,162.0,231,1105,31.2,5.3,10.6,0.501,0.0,0.1,0.2,2.9,5.0,0.569,3.4,4.2,7.6,2.0,0.7,1.4,2.0,2.8,13.5,0.526270669816353,0.501150747986191,0.674609375,0.01879565648378356
23,787,CHARLES BARKLEY,1993,0,1610612756,PHX,31.0,65,65,2298.0,518,1046,0.495,48.0,178.0,0.27,318,452,0.704,198,529,727,296,101,37,206.0,160,1402,35.4,8.0,16.1,0.495,0.7,2.7,0.27,4.9,7.0,0.704,3.0,8.1,11.2,4.6,1.6,0.6,3.2,2.5,21.6,0.5631064841591157,0.5181644359464627,0.9656222802436901,0.018420622615301703
24,344,DANA BARROS,1993,0,1610612755,PHL,27.0,81,70,2519.0,412,878,0.469,135.0,354.0,0.381,116,145,0.8,28,168,196,424,107,5,167.0,96,1075,31.1,5.1,10.8,0.469,1.7,4.4,0.381,1.4,1.8,0.8,0.3,2.1,2.4,5.2,1.3,0.1,2.1,1.2,13.3,0.5707156508812912,0.5461275626423691,0.6065899166335847,0.018966544197624988
25,468,JON BARRY,1993,0,1610612749,MIL,24.0,72,7,1242.0,158,382,0.414,32.0,115.0,0.278,97,122,0.795,36,110,146,168,102,17,83.0,110,445,17.3,2.2,5.3,0.414,0.4,1.6,0.278,1.3,1.7,0.795,0.5,1.5,2.0,2.3,1.4,0.2,1.2,1.5,6.2,0.5106959236136613,0.45549738219895286,0.5442834138486312,0.0036722890914954523
26,174,JOHN BATTLE,1993,0,1610612739,CLE,31.0,51,1,814.0,130,273,0.476,5.0,19.0,0.263,73,97,0.753,7,32,39,83,22,1,41.0,66,338,16.0,2.5,5.4,0.476,0.1,0.4,0.263,1.4,1.9,0.753,0.1,0.6,0.8,1.6,0.4,0.0,0.8,1.3,6.6,0.5353522554485555,0.48534798534798534,0.5147420147420148,0.0016830379810640183
27,104,BENOIT BENJAMIN,1993,0,1610612751,NJN,29.0,77,74,1817.0,283,589,0.48,0.0,0.0,0.0,152,214,0.71,135,364,499,44,35,90,97.0,198,718,23.6,3.7,7.6,0.48,0.0,0.0,0.0,2.0,2.8,0.71,1.8,4.7,6.5,0.6,0.5,1.2,1.3,2.6,9.3,0.5254991510041572,0.48047538200339557,0.6406164006604292,0.008944490279661373
28,76148,TONY BENNETT,1993,0,1610612766,CHH,25.0,74,5,983.0,105,263,0.399,27.0,75.0,0.36,11,15,0.733,16,74,90,163,39,1,40.0,84,248,13.3,1.4,3.6,0.399,0.4,1.0,0.36,0.1,0.2,0.733,0.2,1.0,1.2,2.2,0.5,0.0,0.5,1.1,3.4,0.45994065281899105,0.4505703422053232,0.46897253306205494,0.0015188044442711085
29,128,DAVID BENOIT,1993,0,1610612762,UTH,26.0,55,18,1070.0,139,361,0.385,12.0,59.0,0.203,68,88,0.773,89,171,260,23,23,37,37.0,115,358,19.5,2.5,6.6,0.385,0.2,1.1,0.203,1.2,1.6,0.773,1.6,3.1,4.7,0.4,0.4,0.7,0.7,2.1,6.5,0.4478134694286,0.40166204986149584,0.5644859813084112,0.0025336988025961437
