,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,2009,0,ATL,1610612737,"MIKE BIBBY, JASON COLLINS, JAMAL CRAWFORD, MAURICE EVANS, AL HORFORD, OTHELLO HUNTER, JOE JOHNSON, RANDOLPH MORRIS, ZAZA PACHULIA, JOE SMITH, JOSH SMITH, JEFF TEAGUE, MARIO WEST, MARVIN WILLIAMS",14,19856.0,3181,6801,6.375,524,1455,3.142,1452,1914,9.759,969,2451,3420,1789,592,413,941,1632,8338,265.0,42.0,90.4,6.375,6.7,18.6,3.142,19.4,25.8,9.759,13.7,33.3,46.6,23.0,7.800000000000001,5.5,12.7,23.5,109.9,7615.16,18.408928283642226,0.545455021221589,0.5062490810174974
1,1,2009,0,BOS,1610612738,"RAY ALLEN, TONY ALLEN, MARQUIS DANIELS, GLEN DAVIS, KEVIN GARNETT, J.R. GIDDENS, EDDIE HOUSE, LESTER HUDSON, OLIVER LAFAYETTE, KENDRICK PERKINS, PAUL PIERCE, RAJON RONDO, BRIAN SCALABRINE, HENRY WALKER, RASHEED WALLACE, SHELDEN WILLIAMS",16,19081.0,2932,6048,7.515000000000001,444,1303,3.496,1549,2071,11.146,710,2384,3094,1855,675,400,1124,1745,7857,309.4,46.2,95.6,7.515000000000001,7.4,20.8,3.496,23.2,31.1,11.146,11.9,38.4,50.5,28.5,10.0,5.7,17.9,27.1,122.6,7373.24,18.54805932603113,0.5645012961185417,0.521494708994709
2,2,2009,0,CHA,1610612766,"ALEXIS AJINCA, D.J. AUGUSTIN, RAJA BELL, DERRICK BROWN, TYSON CHANDLER, BORIS DIAW, DESAGANA DIOP, RAYMOND FELTON, STEPHEN GRAHAM, GERALD HENDERSON, NAZR MOHAMMED, FLIP MURRAY, VLADIMIR RADMANOVIC, GERALD WALLACE",14,15556.0,2125,4567,6.429,327,933,3.292,1192,1611,9.124,696,1984,2680,1330,469,324,900,1271,5769,281.1,38.2,83.8,6.429,7.1,20.1,3.292,19.1,26.1,9.124,13.1,35.9,49.1,20.7,8.0,6.0,15.0,24.9,102.2,5479.84,16.908737464643867,0.5467375811245223,0.5010948105977666
3,3,2009,0,CHI,1610612741,"JOE ALEXANDER, LUOL DENG, TAJ GIBSON, AARON GRAY, KIRK HINRICH, LINDSEY HUNTER, JAMES JOHNSON, BRAD MILLER, JOAKIM NOAH, JANNERO PARGO, CHRIS RICHARD, DERRICK ROSE, JOHN SALMONS, TYRUS THOMAS",14,18466.0,2861,6300,5.725,316,946,2.362,1334,1770,10.183,879,2557,3436,1613,499,465,1055,1538,7372,302.0,44.3,99.5,5.725,4.9,15.2,2.362,21.1,28.6,10.183,14.7,43.2,57.9,24.8,8.4,7.9,16.9,27.9,114.6,7254.8,18.857922668688403,0.5207097248121151,0.4792063492063492
4,4,2009,0,CLE,1610612739,"DANIEL GIBSON, DANNY GREEN, JJ HICKSON, ZYDRUNAS ILGAUSKAS, CEDRIC JACKSON, DARNELL JACKSON, LEBRON JAMES, COBY KARL, JAMARIO MOON, SHAQUILLE O'NEAL, ANTHONY PARKER, LEON POWE, ANDERSON VAREJAO, DELONTE WEST, JAWAD WILLIAMS, MO WILLIAMS",16,18892.0,2922,6020,6.414,573,1494,3.905,1522,2091,10.219,754,2532,3286,1791,534,413,1033,1518,7939,295.7,44.1,92.1,6.414,8.6,22.9,3.905,23.6,33.8,10.219,12.3,39.9,52.1,26.5,8.0,6.5,17.5,24.9,120.4,7219.04,18.34183358035147,0.5719707667390966,0.5329734219269103
5,5,2009,0,DAL,1610612742,"J.J. BAREA, RODRIGUE BEAUBOIS, MATT CARROLL, ERICK DAMPIER, DREW GOODEN, JOSH HOWARD, KRIS HUMPHRIES, JASON KIDD, SHAWN MARION, DIRK NOWITZKI, QUINTON ROSS, JAMES SINGLETON, JASON TERRY, TIM THOMAS",14,17461.0,2836,6094,6.369,517,1375,3.943,1382,1657,11.267,694,2270,2964,1817,546,370,917,1348,7571,295.90000000000003,47.1,102.3,6.369,8.1,23.0,3.943,22.7,27.8,11.267,13.6,38.7,52.4,26.2,9.1,6.4,15.1,25.6,124.9,7046.08,19.369557299123763,0.554808092532991,0.5077945520183788
6,6,2009,0,DEN,1610612743,"ARRON AFFLALO, MALIK ALLEN, CHRIS ANDERSEN, CARMELO ANTHONY, RENALDO BALKMAN, CHAUNCEY BILLUPS, ANTHONY CARTER, JOEY GRAHAM, TY LAWSON, KENYON MARTIN, NENE, JOHAN PETRO, JR SMITH",13,19782.0,3124,6678,6.084,544,1517,2.751,1937,2508,9.403,889,2505,3394,1719,683,417,1108,1844,8729,293.5,45.5,97.7,6.084,7.4,21.3,2.751,27.5,35.9,9.403,13.3,38.3,51.8,25.3,10.4,6.2,16.7,28.4,125.5,8000.52,19.41284804367607,0.5608801365285959,0.5085354896675651
7,7,2009,0,DET,1610612765,"CHUCKY ATKINS, KWAME BROWN, WILL BYNUM, AUSTIN DAYE, BEN GORDON, RICHARD HAMILTON, JONAS JEREBKO, JASON MAXIELL, TAYSHAUN PRINCE, RODNEY STUCKEY, DAJUAN SUMMERS, CHARLIE VILLANUEVA, BEN WALLACE, CHRIS WILCOX",14,19782.0,2940,6602,6.338,374,1190,3.061,1455,1998,9.852,1053,2242,3295,1591,596,313,1036,1822,7709,322.2,47.9,107.5,6.338,6.2,19.5,3.061,23.9,32.7,9.852,16.3,35.4,51.8,27.2,9.5,5.0,17.2,29.6,125.4,7464.12,18.11130118289354,0.5152303398421627,0.47364435019691004
8,8,2009,0,GSW,1610612744,"KELENNA AZUBUIKE, ANDRIS BIEDRINS, STEPHEN CURRY, MONTA ELLIS, DEVEAN GEORGE, CHRIS HUNTER, STEPHEN JACKSON, ACIE LAW, COREY MAGGETTE, CARTIER MARTIN, MIKKI MOORE, ANTHONY MORROW, ANTHONY RANDOLPH, RONNY TURIAF, C.J. WATSON, REGGIE WILLIAMS",16,17419.0,3032,6377,7.981,555,1436,4.051,1508,1924,11.434,622,2042,2664,1696,700,300,1081,1664,8127,410.5,68.7,144.5,7.981,12.2,33.6,4.051,34.0,44.7,11.434,16.3,49.3,65.5,36.9,15.7,8.5,23.5,39.3,183.4,7682.56,21.17015213272863,0.5625342628842288,0.5189744393915634
9,9,2009,0,HOU,1610612745,"DAVID ANDERSEN, TREVOR ARIZA, SHANE BATTIER, AARON BROOKS, CHASE BUDINGER, WILL CONROY, BRIAN COOK, JOEY DORSEY, CHUCK HAYES, CARL LANDRY, KYLE LOWRY, TRACY MCGRADY, POPS MENSAH-BONSU, LUIS SCOLA, JERMAINE TAYLOR, GARRETT TEMPLE",16,18219.0,2831,6332,6.547,614,1727,3.48,1339,1752,10.409,873,2294,3167,1699,538,290,1029,1546,7615,296.1,44.4,100.8,6.547,8.799999999999999,26.5,3.48,23.2,31.9,10.409,14.7,37.6,52.3,26.9,8.5,5.3,17.7,27.2,120.8,7258.88,19.124333937098633,0.5360501655666434,0.49557801642451044
