,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,2002,0,ATL,1610612737,"SHAREEF ABDUR-RAHIM, COREY BENJAMIN, CHRIS CRAWFORD, EMANUAL DAVIS, DAN DICKAU, DION GLOVER, DARVIN HAM, ANTONIO HARVEY, ALAN HENDERSON, MATT MALONEY, AMAL MCCASKILL, NAZR MOHAMMED, IRA NEWBLE, THEO RATLIFF, GLENN ROBINSON, PAUL SHIRLEY, JASON TERRY, MIKE WILKS, BRANDON WILLIAMS",19,19602.0,2835,6380,7.209,402,1140,3.573,1569,1973,11.919,923,2533,3456,1641,601,468,1289,1755,7641,340.6,45.0,107.3,7.209,6.6000000000000005,19.9,3.573,25.3,32.1,11.919,16.0,43.1,58.9,27.8,11.0,8.3,21.8,34.4,122.1,7614.12,18.644921946740126,0.5271022002946971,0.47586206896551725
1,1,2002,0,BOS,1610612738,"VIN BAKER, TONY BATTIE, J.R. BREMER, KEDRICK BROWN, TONY DELK, GRANT LONG, WALTER MCCARTY, MIKKI MOORE, PAUL PIERCE, BRUNO SUNDOV, ANTOINE WALKER, ERIC WILLIAMS, SHAMMOND WILLIAMS, RUBEN WOLKOWYSKI",14,19131.0,2633,6379,5.351,719,2148,2.955,1442,1946,8.256,799,2383,3182,1537,694,286,1062,1664,7427,288.5,37.7,92.2,5.351,10.3,30.6,2.955,19.9,27.6,8.256,12.2,34.9,47.2,22.2,10.2,4.8,15.3,27.5,105.6,7498.24,18.813209973341696,0.5132518064362758,0.46911741652296596
2,2,2002,0,CHI,1610612741,"DALIBOR BAGARIC, LONNY BAXTER, CORIE BLOUNT, RICK BRUNSON, TYSON CHANDLER, JAMAL CRAWFORD, EDDY CURRY, MARCUS FIZER, TRENTON HASSELL, FRED HOIBERG, DONYELL MARSHALL, ROGER MASON JR., EDDIE ROBINSON, JALEN ROSE, JAY WILLIAMS",15,19937.0,2991,6714,6.58,349,997,3.37,1455,2014,11.154,985,2541,3526,1782,605,461,1330,2028,7786,300.6,44.0,99.4,6.58,4.9,13.9,3.37,21.3,29.4,11.154,15.8,38.8,54.5,26.7,9.4,6.8,19.9,31.9,114.3,7945.16,19.128639213522597,0.5122260583987706,0.471477509681263
3,3,2002,0,CLE,1610612739,"CARLOS BOOZER, TIERRE BROWN, BIMBO COLES, RICKY DAVIS, DESAGANA DIOP, TYRONE HILL, ZYDRUNAS ILGAUSKAS, JUMAINE JONES, CHRIS MIHM, DARIUS MILES, MILT PALACIO, SMUSH PARKER, MICHAEL STEWART, DAJUAN WAGNER",14,19825.0,2850,6746,5.728,293,896,1.851,1502,2012,10.03,1118,2542,3660,1712,636,521,1430,1864,7495,318.4,43.7,105.5,5.728,4.5,14.2,1.851,23.0,30.8,10.03,17.3,40.6,57.7,28.3,10.3,7.6,22.6,30.2,115.1,7943.28,19.232153341740226,0.49107096057280036,0.44418914912540763
4,4,2002,0,DAL,1610612742,"TARIQ ABDUL-WAHAD, RAJA BELL, SHAWN BRADLEY, EVAN ESCHMEYER, MICHAEL FINLEY, ADRIAN GRIFFIN, ADAM HARRINGTON, AVERY JOHNSON, POPEYE JONES, RAEF LAFRENTZ, EDUARDO NAJERA, STEVE NASH, DIRK NOWITZKI, ANTOINE RIGAUDEAU, MARK STRICKLAND, NICK VAN EXEL, WALT WILLIAMS",17,19773.0,3161,6982,7.149,636,1668,3.514,1486,1793,11.198,912,2544,3456,1837,665,449,908,1730,8444,311.7,47.2,106.8,7.149,8.9,23.3,3.514,20.7,25.4,11.198,16.7,39.2,55.5,27.4,10.4,6.7,14.4,29.6,124.0,7766.92,18.854607798513122,0.5433076135129431,0.498281294757949
5,5,2002,0,DEN,1610612743,"CHRIS ANDERSEN, MARK BLOUNT, RYAN BOWEN, MARCUS CAMBY, JOHN CROTTY, JUNIOR HARRINGTON, DONNELL HARVEY, JUWAN HOWARD, NENE, JAMES POSEY, KENNY SATTERFIELD, PREDRAG SAVOVIC, JEFF TREPAGNIER, NIKOLOZ TSKITISHVILI, RODNEY WHITE, CHRIS WHITNEY, VINCENT YARBROUGH",17,18851.0,2581,6257,6.686,188,710,4.08,1258,1795,12.271,1094,2301,3395,1582,691,418,1366,1979,6608,356.3,47.8,120.1,6.686,5.1000000000000005,18.2,4.08,23.7,33.2,12.271,19.3,41.4,60.8,32.0,13.2,7.3,25.5,35.5,124.7,7318.8,18.635743461885312,0.4688653005619572,0.42752117628256353
6,6,2002,0,DET,1610612765,"CHUCKY ATKINS, JON BARRY, CHAUNCEY BILLUPS, MICHAEL CURRY, HUBERT DAVIS, RICHARD HAMILTON, DANNY MANNING, MEHMET OKUR, TAYSHAUN PRINCE, ZELJKO REBRACA, DON REID, CLIFFORD ROBINSON, PEPE SANCHEZ, BEN WALLACE, CORLISS WILLIAMSON",15,19897.0,2700,6277,5.634,533,1488,3.877,1559,2021,10.441,883,2445,3328,1620,556,468,1043,1748,7492,296.7,38.4,91.9,5.634,7.6,21.2,3.877,22.4,29.6,10.441,12.9,35.2,48.5,23.2,8.6,7.0,15.1,29.6,106.2,7326.24,17.673997084987686,0.5227287950166336,0.472598375019914
7,7,2002,0,GSW,1610612744,"GILBERT ARENAS, EARL BOYKINS, ERICK DAMPIER, MIKE DUNLEAVY, DANNY FORTSON, ADONAL FOYLE, A.J. GUYTON, ANTAWN JAMISON, CHRIS MILLS, TROY MURPHY, DEAN OLIVER, JASON RICHARDSON, GUY RUCKER, BOB SURA, OSCAR TORRES, JIRI WELSCH",16,19745.0,3061,6941,5.714,425,1235,3.529,1853,2382,10.775,1284,2546,3830,1712,594,506,1246,1786,8400,290.3,42.6,100.7,5.714,5.9,18.1,3.529,26.7,34.4,10.775,18.9,36.6,55.6,26.9,9.3,6.4,18.8,27.6,117.7,7951.08,19.329037224613824,0.5257176045301837,0.4716179224895548
8,8,2002,0,HOU,1610612745,"KELVIN CATO, JASON COLLIER, STEVE FRANCIS, EDDIE GRIFFIN, JUAQUIN HAWKINS, TITO MADDOX, CUTTINO MOBLEY, TERENCE MORRIS, BOSTJAN NACHBAR, MOOCHIE NORRIS, GLEN RICE, MAURICE TAYLOR, KENNY THOMAS, YAO MING",14,18293.0,2652,6033,5.914,393,1126,3.017,1450,1900,9.93,972,2335,3307,1400,517,484,1120,1468,7147,286.8,40.9,94.3,5.914,5.4,16.7,3.017,21.4,28.1,9.93,16.0,37.2,53.1,20.7,8.1,6.8,17.3,23.7,108.9,7017.0,18.41228885365987,0.5202358421895472,0.4721531576330184
9,9,2002,0,IND,1610612754,"JONATHAN BENDER, JAMISON BREWER, PRIMOZ BREZEC, AUSTIN CROSHERE, JEFF FOSTER, TIM HARDAWAY, AL HARRINGTON, FRED JONES, RON MERCER, BRAD MILLER, REGGIE MILLER, JERMAINE O'NEAL, ERICK STRICKLAND, JAMAAL TINSLEY, METTA WORLD PEACE",15,19898.0,2911,6608,6.392,379,1119,3.863,1739,2271,10.639,1004,2622,3626,1910,696,443,1150,1811,7940,306.6,43.9,100.8,6.392,6.7,19.8,3.863,25.5,33.6,10.639,14.9,38.9,53.8,30.8,11.0,6.8,17.9,28.2,120.2,7753.24,18.70316212684692,0.5218712700006836,0.469203995157385
10,10,2002,0,LAC,1610612746,"ELTON BRAND, KEYON DOOLING, MELVIN ELY, TREMAINE FOWLKES, MARKO JARIC, COREY MAGGETTE, ANDRE MILLER, LAMAR ODOM, MICHAEL OLOWOKANDI, CHEROKEE PARKS, ERIC PIATKOWSKI, QUENTIN RICHARDSON, SEAN ROOKS, CHRIS WILCOX, WANG ZHI-ZHI",15,19753.0,2835,6490,6.612,390,1178,3.3360000000000003,1633,2177,10.942,1008,2462,3470,1605,574,461,1246,1784,7693,355.2,50.8,115.8,6.612,6.7,19.8,3.3360000000000003,28.0,37.7,10.942,18.7,46.1,64.9,25.8,9.9,9.0,22.2,32.4,136.2,7685.88,18.676770110869235,0.5164556894042331,0.46687211093990755
11,11,2002,0,LAL,1610612747,"KOBE BRYANT, DEREK FISHER, RICK FOX, DEVEAN GEORGE, ROBERT HORRY, MARK MADSEN, SLAVA MEDVEDENKO, TRACY MURRAY, SHAQUILLE O'NEAL, JANNERO PARGO, KAREEM RUSH, SOUMAILA SAMAKE, BRIAN SHAW, SAMAKI WALKER",14,19926.0,3091,6856,5.857,486,1367,2.949,1562,2129,10.683,1078,2554,3632,1909,639,470,1152,1874,8230,284.3,43.5,96.9,5.857,6.5,18.7,2.949,21.4,29.5,10.683,16.4,36.7,52.9,26.2,8.700000000000001,7.1,16.3,27.9,115.1,7866.76,18.950340258958143,0.5280542452224886,0.4862893815635939
12,12,2002,0,MEM,1610612763,"ROBERT ARCHIBALD, MIKE BATISTE, SHANE BATTIER, MICHAEL DICKERSON, PAU GASOL, GORDAN GIRICEK, DREW GOODEN, BREVIN KNIGHT, CHRIS OWENS, WESLEY PERSON, STROMILE SWIFT, CEZARY TRYBANSKI, EARL WATSON, JASON WILLIAMS, LORENZEN WRIGHT",15,19445.0,2960,6557,6.564,445,1235,3.12,1396,1889,9.953,933,2391,3324,1857,640,493,1186,1626,7761,311.8,47.4,105.1,6.564,7.0,19.6,3.12,21.3,29.700000000000003,9.953,15.3,36.0,51.4,27.9,9.9,7.5,20.4,27.8,123.3,7641.16,18.862210336847518,0.5252322635135135,0.4853591581515937
13,13,2002,0,MIA,1610612748,"MALIK ALLEN, TRAVIS BEST, CARON BUTLER, RASUAL BUTLER, ANTHONY CARTER, LAPHONSO ELLIS, BRIAN GRANT, EDDIE HOUSE, MIKE JAMES, KEN JOHNSON, EDDIE JONES, SEAN LAMPLEY, SEAN MARKS, VLADIMIR STEPANIA",14,19829.0,2688,6517,5.673,348,1100,2.193,1292,1689,10.04,948,2464,3412,1501,592,324,1097,1856,7016,308.9,41.4,101.1,5.673,5.8,17.8,2.193,20.2,26.6,10.04,13.4,37.8,51.2,23.7,9.3,5.6,17.2,29.1,108.8,7409.16,17.93533108074033,0.4831849435825106,0.4391591222955348
14,14,2002,0,MIL,1610612749,"RAY ALLEN, JASON CAFFEY, SAM CASSELL, DAN GADZURIC, MARCUS HAISLIP, ERVIN JOHNSON, TONI KUKOC, ANTHONY MASON, FLIP MURRAY, KEVIN OLLIE, JOEL PRZYBILLA, MICHAEL REDD, JAMAL SAMPSON, TIM THOMAS",14,17873.0,2658,5846,5.755,560,1441,2.372,1317,1691,9.19,787,2182,2969,1549,562,325,899,1682,7193,292.7,41.9,93.2,5.755,8.4,22.0,2.372,21.0,27.3,9.19,13.3,35.7,49.1,24.6,9.2,6.2,14.8,28.3,112.8,6702.04,17.999100318916803,0.5457478255063702,0.5025658569962368
15,15,2002,0,MIN,1610612750,"KEVIN GARNETT, KENDALL GILL, TROY HUDSON, MARC JACKSON, RASHO NESTEROVIC, ANTHONY PEELER, IGOR RAKOCEVIC, REGGIE SLATER, JOE SMITH, ROD STRICKLAND, WALLY SZCZERBIAK, GARY TRENT, LOREN WOODS",13,19480.0,3151,6742,5.938,292,786,3.641,1390,1808,9.764,948,2595,3543,2020,542,430,1079,1673,7984,281.9,45.2,96.5,5.938,4.0,11.0,3.641,21.1,27.3,9.764,13.9,36.6,50.3,29.0,8.0,6.1000000000000005,15.7,25.0,115.3,7668.52,18.895737166324437,0.529617168511659,0.48902402847819637
16,16,2002,0,NJN,1610612751,"BRANDON ARMSTRONG, CHRIS CHILDS, JASON COLLINS, LUCIOUS HARRIS, RICHARD JEFFERSON, ANTHONY JOHNSON, JASON KIDD, KERRY KITTLES, DONNY MARSHALL, KENYON MARTIN, DIKEMBE MUTOMBO, RODNEY ROGERS, BRIAN SCALABRINE, TAMAR SLAY, AARON WILLIAMS",15,19757.0,2906,6585,5.768,346,1041,3.1790000000000003,1662,2195,10.579,991,2528,3519,1887,717,374,1184,1772,7820,294.6,41.5,96.8,5.768,5.0,15.7,3.1790000000000003,23.4,31.0,10.579,15.0,38.1,52.9,26.9,10.8,6.3,17.7,27.2,111.4,7743.8,18.813706534392875,0.517825925729724,0.46757782839787393
