,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,2008,0,ATL,1610612737,"MIKE BIBBY, SPEEDY CLAXTON, MAURICE EVANS, THOMAS GARDNER, AL HORFORD, OTHELLO HUNTER, JOE JOHNSON, SOLOMON JONES, ACIE LAW, RANDOLPH MORRIS, FLIP MURRAY, ZAZA PACHULIA, JOSH SMITH, MARIO WEST, MARVIN WILLIAMS",15,19706.0,2956,6451,6.611,597,1633,4.143,1537,2085,10.027,870,2412,3282,1657,603,376,1000,1610,8046,293.0,42.8,94.9,6.611,8.1,22.4,4.143,22.3,31.1,10.027,13.0,35.5,48.8,24.3,8.7,5.6,14.0,24.6,115.8,7498.4,18.264650360296358,0.5459801313718039,0.5044954270655713
1,1,2008,0,BOS,1610612738,"RAY ALLEN, TONY ALLEN, GLEN DAVIS, KEVIN GARNETT, J.R. GIDDENS, EDDIE HOUSE, STEPHON MARBURY, PATRICK O'BRYANT, KENDRICK PERKINS, PAUL PIERCE, LEON POWE, GABE PRUITT, RAJON RONDO, BRIAN SCALABRINE, HENRY WALKER",15,19424.0,3024,6248,7.317,538,1355,3.354,1573,2056,10.325,838,2511,3349,1837,617,382,1209,1801,8159,295.7,45.2,93.9,7.317,7.4,19.3,3.354,22.6,29.8,10.325,12.6,38.0,50.2,27.8,9.6,6.1,19.1,29.0,120.4,7523.64,18.592191103789126,0.5703488502147459,0.5270486555697823
2,2,2008,0,CHA,1610612766,"ALEXIS AJINCA, D.J. AUGUSTIN, ANDRE BROWN, SHANNON BROWN, MATT CARROLL, JARED DUDLEY, RAYMOND FELTON, RYAN HOLLINS, DONTELL JEFFERSON, LINTON JOHNSON, DWAYNE JONES, CARTIER MARTIN, SEAN MAY, NAZR MOHAMMED, ADAM MORRISON, EMEKA OKAFOR, JASON RICHARDSON, GERALD WALLACE",18,14219.0,2029,4491,7.297,299,854,4.548,1236,1646,12.581,629,1745,2374,1238,447,303,852,1251,5593,316.4,42.5,95.9,7.297,6.699999999999999,18.0,4.548,24.7,33.3,12.581,15.2,35.4,50.5,22.7,9.5,5.9,19.1,31.9,116.2,5438.24,18.358219284056542,0.5362169334488921,0.48508127365842796
3,3,2008,0,CHI,1610612741,"LUOL DENG, DREW GOODEN, BEN GORDON, AARON GRAY, KIRK HINRICH, LARRY HUGHES, LINDSEY HUNTER, DEMETRIS NICHOLS, JOAKIM NOAH, ANDRES NOCIONI, DERRICK ROSE, THABO SEFOLOSHA, CEDRIC SIMMONS, TYRUS THOMAS",14,17886.0,2808,6153,6.127,419,1107,3.176,1423,1801,9.632,874,2207,3081,1578,561,426,1034,1528,7458,313.2,48.5,108.7,6.127,7.6,20.6,3.176,23.8,30.8,9.632,14.7,39.2,54.0,26.6,10.4,6.9,17.4,27.6,128.6,7105.4400000000005,19.068607849714862,0.5368990301550369,0.4904111815374614
4,4,2008,0,CLE,1610612739,"DANIEL GIBSON, JJ HICKSON, ZYDRUNAS ILGAUSKAS, DARNELL JACKSON, LEBRON JAMES, TREY JOHNSON, TARENCE KINSEY, SASHA PAVLOVIC, WALLY SZCZERBIAK, ANDERSON VAREJAO, BEN WALLACE, DELONTE WEST, JAWAD WILLIAMS, MO WILLIAMS, LORENZEN WRIGHT",15,19371.0,2965,6339,6.3100000000000005,655,1667,3.489,1502,1984,10.042,850,2510,3360,1647,586,421,972,1613,8087,284.1,41.4,90.6,6.3100000000000005,8.8,23.0,3.489,21.4,28.200000000000003,10.042,12.8,36.9,49.7,22.3,8.5,6.2,14.1,25.2,113.2,7333.96,18.17304630633421,0.5606658938762833,0.5194036914339801
5,5,2008,0,DAL,1610612742,"J.J. BAREA, BRANDON BASS, ERICK DAMPIER, DESAGANA DIOP, DEVEAN GEORGE, GERALD GREEN, JOSH HOWARD, JASON KIDD, DIRK NOWITZKI, JAMES SINGLETON, JERRY STACKHOUSE, JASON TERRY, SHAWNE WILLIAMS, ANTOINE WRIGHT",14,19404.0,3088,6678,6.092,570,1624,3.27,1493,1813,11.084,880,2549,3429,1773,584,413,980,1542,8239,307.0,46.8,105.0,6.092,8.700000000000001,26.4,3.27,22.3,27.2,11.084,14.5,38.9,53.5,24.9,9.1,6.9,15.0,24.9,124.1,7575.72,18.74018552875696,0.5510506011461104,0.5050913447139862
6,6,2008,0,DEN,1610612743,"CHRIS ANDERSEN, CARMELO ANTHONY, CHUCKY ATKINS, RENALDO BALKMAN, ANTHONY CARTER, JUWAN HOWARD, ALLEN IVERSON, DAHNTAY JONES, LINAS KLEIZA, KENYON MARTIN, NENE, CHEIKH SAMB, JR SMITH, SONNY WEEMS",14,16759.0,2623,5478,6.1850000000000005,388,1084,3.578,1473,2021,8.517,858,2258,3116,1314,617,465,1037,1656,7107,290.5,43.5,94.1,6.1850000000000005,6.0,18.1,3.578,26.5,36.7,8.517,13.5,35.6,49.2,27.0,10.3,8.0,18.8,26.5,119.9,6546.24,18.74930007757026,0.5580911038377696,0.5142387732749178
7,7,2008,0,DET,1610612765,"ALEX ACKER, ARRON AFFLALO, CHAUNCEY BILLUPS, KWAME BROWN, WILL BYNUM, RICHARD HAMILTON, WALTER HERRMANN, AMIR JOHNSON, JASON MAXIELL, ANTONIO MCDYESS, TAYSHAUN PRINCE, WALTER SHARPE, RODNEY STUCKEY, RASHEED WALLACE",14,17937.0,2651,5765,6.318,351,988,2.602,1135,1527,9.379,922,2310,3232,1426,408,372,785,1629,6788,297.1,42.7,95.7,6.318,6.1,18.4,2.602,20.7,27.3,9.379,14.1,39.0,53.1,27.7,7.6,6.300000000000001,13.3,25.9,111.7,6299.88,16.85868539889614,0.5272740830961584,0.49028620988725063
8,8,2008,0,GSW,1610612744,"KELENNA AZUBUIKE, MARCO BELINELLI, ANDRIS BIEDRINS, JERMAREO DAVIDSON, MONTA ELLIS, AL HARRINGTON, STEPHEN JACKSON, ROB KURZ, COREY MAGGETTE, ANTHONY MORROW, DEMARCUS NELSON, ANTHONY RANDOLPH, RONNY TURIAF, C.J. WATSON, MARCUS WILLIAMS, BRANDAN WRIGHT",16,17794.0,2885,6202,7.126,443,1158,3.732,1628,2094,11.056,932,2337,3269,1471,590,514,1044,1763,7841,364.9,59.4,132.9,7.126,9.7,26.0,3.732,31.2,41.9,11.056,18.5,46.5,64.89999999999999,30.0,12.8,8.7,22.1,36.2,159.9,7235.36,19.51766213330336,0.5503722962197615,0.5008868107062238
9,9,2008,0,HOU,1610612745,"RAFER ALSTON, BRENT BARRY, SHANE BATTIER, AARON BROOKS, JOEY DORSEY, CHUCK HAYES, LUTHER HEAD, CARL LANDRY, TRACY MCGRADY, DIKEMBE MUTOMBO, LUIS SCOLA, VON WAFER, JAMES WHITE, METTA WORLD PEACE, YAO MING",15,19172.0,2877,6348,6.723,611,1622,4.838,1479,1838,10.076,848,2593,3441,1564,527,343,1053,1493,7844,323.5,46.9,105.5,6.723,10.9,28.8,4.838,23.7,29.8,10.076,13.1,41.9,55.3,28.2,9.0,6.2,18.1,23.7,128.1,7361.72,18.4311788024202,0.5480164097519534,0.501339004410838
