,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,1993,0,ATL,1610612737,"STACEY AUGMON, JOHN BAGLEY, MOOKIE BLAYLOCK, DOUG EDWARDS, CRAIG EHLO, DUANE FERRELL, RICKY GRACE, PAUL GRAHAM, ADAM KEEFE, JON KONCAK, ANDREW LANG, ENNIS WHATLEY, DOMINIQUE WILKINS, KEVIN WILLIS",14,18830.0,3070,6667,6.024,267.0,827.0,2.1,1502,1987,9.773,1201,2303,3504,1971,869,424,1119.0,1532,7909,266.1,44.3,97.6,6.024,3.7,12.2,2.1,22.9,30.6,9.773,16.6,31.8,48.4,27.3,11.6,5.6000000000000005,15.6,22.5,114.9,7459.28,19.014627721720657,0.5243804765238792,0.48050097495125244
1,1,1993,0,BOS,1610612738,"ALAA ABDELNABY, DEE BROWN, CHRIS CORCHIANI, SHERMAN DOUGLAS, ACIE EARL, RICK FOX, KEVIN GAMBLE, TONY HARRIS, XAVIER MCDANIEL, JIMMY OLIVER, ROBERT PARISH, ED PINCKNEY, DINO RADJA, MATT WENSTROM",14,19857.0,3327,7043,6.436,138.0,477.0,2.39,1456,1989,10.226,1035,2374,3409,1922,669,439,1187.0,1845,8248,293.7,47.3,103.3,6.436,2.5,8.2,2.39,25.0,33.1,10.226,15.1,35.1,50.3,27.200000000000003,9.9,5.9,18.2,27.8,122.4,8070.16,19.507865236440548,0.5208280711680492,0.48218088882578447
2,2,1993,0,CHH,1610612766,"TONY BENNETT, MUGGSY BOGUES, SCOTT BURRELL, MARTY CONLON, DELL CURRY, LERON ELLIS, KENNY GATTISON, MIKE GMINSKI, HERSEY HAWKINS, STEVE HENSON, EDDIE JOHNSON, LARRY JOHNSON, TIM KEMPTON, ALONZO MOURNING, JOHNNY NEWMAN, DAVID WINGATE",16,19063.0,3252,6833,7.539,334.0,909.0,3.808,1582,2063,11.259,985,2372,3357,2139,692,381,1153.0,1653,8420,342.6,57.2,119.2,7.539,4.8,12.8,3.808,28.2,37.1,11.259,19.3,43.2,62.4,35.6,11.5,7.0,20.5,32.7,147.9,7908.72,19.913893930651,0.5438770553643588,0.5003658715059272
3,3,1993,0,CHI,1610612741,"B.J. ARMSTRONG, CORIE BLOUNT, BILL CARTWRIGHT, JOJO ENGLISH, HORACE GRANT, DAVE JOHNSON, STEVE KERR, STACEY KING, TONI KUKOC, PETE MYERS, JOHN PAXSON, WILL PERDUE, SCOTTIE PIPPEN, BILL WENNINGTON, SCOTT WILLIAMS",15,19267.0,3160,6639,6.803,233.0,659.0,2.81,1276,1814,10.131,1101,2295,3396,2039,730,333,1189.0,1665,7829,304.0,48.4,103.1,6.803,3.2,9.5,2.81,19.9,28.8,10.131,18.2,37.1,55.6,30.6,11.0,5.5,19.3,27.9,119.8,7525.16,18.74747910935797,0.5263433891431676,0.4935231209519506
4,4,1993,0,CLE,1610612739,"JOHN BATTLE, TERRELL BRANDON, BRAD DAUGHERTY, DANNY FERRY, JAY GUIDINGER, ROD HIGGINS, TYRONE HILL, GERALD MADKINS, CHRIS MILLS, LARRY NANCE, BOBBY PHILLS, MARK PRICE, SEDRIC TONEY, GERALD WILKINS, HOT ROD WILLIAMS",15,19779.0,3120,6707,6.621,294.0,813.0,2.717,1731,2241,11.843,1080,2341,3421,2045,700,425,1085.0,1686,8265,319.2,49.2,105.9,6.621,4.3,11.9,2.717,27.9,36.4,11.843,17.9,39.2,57.3,31.5,11.0,7.199999999999999,17.7,28.4,130.7,7698.04,18.68172910662824,0.5371738610484282,0.4871030266885344
5,5,1993,0,DAL,1610612742,"CHUCKY BROWN, TERRY DAVIS, GREG DREILING, DEREK HARPER, LUCIOUS HARRIS, DONALD HODGE, JIM JACKSON, POPEYE JONES, TIM LEGLER, LAFAYETTE LEVER, JAMAL MASHBURN, DARREN MORNINGSTAR, SEAN ROOKS, DOUG SMITH, RANDY WHITE",15,18093.0,2837,6562,7.136,233.0,742.0,3.378,1374,1831,11.094,1131,1949,3080,1539,709,244,1241.0,1828,7281,316.4,46.2,106.5,7.136,4.0,12.6,3.378,22.5,30.4,11.094,19.8,35.4,54.8,23.6,11.7,4.4,19.7,33.9,119.1,7477.64,19.83787763223346,0.4941202338876492,0.4500914355379457
6,6,1993,0,DEN,1610612743,"MAHMOUD ABDUL-RAUF, KEVIN BROOKS, BISON DELE, LAPHONSO ELLIS, JIM FARMER, TOM HAMMONDS, ADONIS JORDAN, MARCUS LIBERTY, MARK MACON, ROY MARBLE, DARNELL MEE, DIKEMBE MUTOMBO, ROBERT PACK, MARK RANDALL, RODNEY ROGERS, BRYANT STITH, REGGIE WILLIAMS",17,19755.0,3156,6781,6.981,170.0,597.0,2.532,1739,2423,9.967,1105,2557,3662,1763,679,686,1373.0,1926,8221,305.5,46.3,105.1,6.981,2.7,11.2,2.532,24.200000000000003,34.5,9.967,15.6,37.2,52.8,29.6,9.8,9.4,23.8,31.3,119.6,8115.12,19.717831435079727,0.523822752806125,0.4779531042619083
7,7,1993,0,DET,1610612765,"GREG ANDERSON, BEN COLEMAN, JOE DUMARS, SEAN ELLIOTT, ALLAN HOUSTON, LINDSEY HUNTER, CHARLES JONES, BILL LAIMBEER, TERRY MILLS, TRACY MOORE, TOD MURPHY, DAN O'SULLIVAN, OLDEN POLYNICE, ISIAH THOMAS, DAVID WOOD",15,18695.0,3027,6642,7.128,343.0,993.0,3.073,1210,1641,10.633,957,2200,3157,1697,548,294,1137.0,1802,7607,321.7,51.1,109.6,7.128,5.0,14.3,3.073,20.4,28.5,10.633,17.9,41.5,59.5,26.3,9.3,5.4,18.2,31.7,127.5,7544.04,19.369559775341,0.5164963797046187,0.48155676001204456
8,8,1993,0,GOS,1610612744,"VICTOR ALEXANDER, JUD BUECHLER, DELL DEMPS, CHRIS GATLING, JOSH GRANT, JEFF GRAYER, BYRON HOUSTON, KEITH JENNINGS, AVERY JOHNSON, CHRIS MULLIN, BILLY OWENS, ANDRE SPENCER, LATRELL SPREWELL, CHRIS WEBBER",14,19712.0,3502,7117,6.699,289.0,857.0,2.453,1520,2293,8.575,1180,2388,3568,2194,804,511,1397.0,1778,8813,285.1,50.2,103.0,6.699,3.9,12.2,2.453,21.0,32.5,8.575,16.7,34.0,50.9,30.6,12.1,7.4,19.8,25.9,125.5,8342.92,20.315551948051947,0.5422770590899246,0.5123647604327666
9,9,1993,0,HOU,1610612745,"SCOTT BROOKS, MATT BULLARD, SAM CASSELL, EARL CURETON, MARIO ELIE, CARL HERRERA, ROBERT HORRY, CHRIS JENT, VERNON MAXWELL, HAKEEM OLAJUWON, RICHARD PETRUSKA, ERIC RILEY, LARRY ROBINSON, KENNY SMITH, OTIS THORPE",15,19780.0,3197,6733,6.746,429.0,1285.0,3.861,1469,1978,9.943,926,2619,3545,2087,717,485,1305.0,1646,8292,313.7,49.4,105.9,6.746,7.5,22.8,3.861,20.4,29.3,9.943,16.2,43.4,59.4,31.1,10.7,6.2,21.5,29.8,126.6,7982.32,19.37064509605662,0.5452881109830969,0.5066834991831278
