,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,2004,0,ATL,1610612737,"KENNY ANDERSON, JON BARRY, JOSH CHILDRESS, JASON COLLIER, TONY DELK, BORIS DIAW, PREDRAG DROBNJAK, OBINNA EKEZIE, AL HARRINGTON, ROYAL IVEY, JELANI MCCOY, ANTHONY MILLER, DONTA SMITH, JOSH SMITH, MICHAEL STEWART, ANTOINE WALKER, KEVIN WILLIS",17,17575.0,2606,5934,7.737,256,837,3.668,1260,1810,10.72,1043,2133,3176,1294,572,331,1126,1807,6728,326.7,46.8,106.1,7.737,5.1,15.9,3.668,21.7,31.4,10.72,19.3,39.1,58.5,24.2,11.4,6.0,20.9,37.6,119.6,6813.4,18.608432432432434,0.49982170450493285,0.46073474890461746
1,1,2004,0,BOS,1610612738,"TONY ALLEN, MARCUS BANKS, MARK BLOUNT, RICKY DAVIS, TOM GUGLIOTTA, AL JEFFERSON, RAEF LAFRENTZ, WALTER MCCARTY, GARY PAYTON, KENDRICK PERKINS, PAUL PIERCE, JUSTIN REED, JIRI WELSCH, DELONTE WEST",14,19051.0,2885,6147,6.367,412,1179,3.156,1731,2244,10.079,853,2296,3149,1739,642,397,1189,1930,7913,272.0,39.7,85.2,6.367,5.9,17.0,3.156,23.3,30.4,10.079,12.5,32.6,45.1,24.0,9.1,5.6,16.4,28.3,108.4,7470.36,18.821966300981572,0.5545697161343134,0.5028469171953799
2,2,2004,0,CHA,1610612766,"CORY ALEXANDER, KEITH BOGANS, PRIMOZ BREZEC, MATT CARROLL, MELVIN ELY, JASON HART, EDDIE HOUSE, JASON KAPONO, BREVIN KNIGHT, EMEKA OKAFOR, BERNARD ROBINSON, JAMAL SAMPSON, TAMAR SLAY, STEVEN SMITH, THERON SMITH, GERALD WALLACE, JAHIDI WHITE",17,18732.0,2759,6372,7.093,271,754,3.915,1439,2036,11.529,1050,2242,3292,1722,672,423,1086,1803,7228,344.4,49.7,116.9,7.093,5.9,16.8,3.915,25.5,36.7,11.529,18.6,40.8,59.400000000000006,30.6,13.0,7.4,20.3,36.5,130.9,7303.84,18.715797565663035,0.4972591581542797,0.45425298179535467
3,3,2004,0,CHI,1610612741,"TYSON CHANDLER, EDDY CURRY, ANTONIO DAVIS, LUOL DENG, CHRIS DUHON, LAWRENCE FUNDERBURKE, BEN GORDON, ADRIAN GRIFFIN, OTHELLA HARRINGTON, KIRK HINRICH, ANDRES NOCIONI, JANNERO PARGO, ERIC PIATKOWSKI, JARED REINER, FRANK WILLIAMS",15,19833.0,2849,6592,6.158,511,1433,2.633,1536,2048,9.904,1001,2591,3592,1743,576,369,1319,2028,7745,299.4,42.7,99.8,6.158,6.9,20.2,2.633,22.8,30.9,9.904,15.3,38.0,53.4,25.6,8.3,5.6,19.4,31.5,115.6,7811.12,18.904540916654064,0.516807418004783,0.4709496359223301
4,4,2004,0,CLE,1610612739,"DESAGANA DIOP, DREW GOODEN, LUCIOUS HARRIS, ZYDRUNAS ILGAUSKAS, LUKE JACKSON, LEBRON JAMES, JEFF MCINNIS, IRA NEWBLE, SASHA PAVLOVIC, ERIC SNOW, ROBERT TRAYLOR, ANDERSON VAREJAO, DAJUAN WAGNER, SCOTT WILLIAMS",14,19635.0,2975,6631,5.722,298,893,3.375,1614,2146,9.682,1110,2324,3434,1831,648,459,1056,1830,7862,281.0,41.8,95.9,5.722,4.9,14.5,3.375,22.2,29.6,9.682,16.0,32.2,48.5,25.4,9.2,6.7,14.9,27.9,110.3,7521.24,18.386530175706646,0.5189274531235974,0.471120494646358
5,5,2004,0,DAL,1610612742,"CALVIN BOOTH, SHAWN BRADLEY, ERICK DAMPIER, MARQUIS DANIELS, DAN DICKAU, MICHAEL FINLEY, DEVIN HARRIS, ALAN HENDERSON, JOSH HOWARD, DJ MBENGA, DIRK NOWITZKI, PAVEL PODKOLZIN, JERRY STACKHOUSE, JASON TERRY",14,18468.0,2893,6294,5.655,428,1168,2.658,1715,2175,10.239,937,2387,3324,1463,663,445,979,1677,7929,277.0,42.6,94.0,5.655,6.3,17.3,2.658,25.5,33.1,10.239,14.0,35.6,49.5,20.9,9.5,6.8,14.9,26.5,116.8,7293.0,18.955165692007796,0.5467521721141911,0.4936447410231967
6,6,2004,0,DEN,1610612743,"CARMELO ANTHONY, EARL BOYKINS, GREG BUCKNER, MARCUS CAMBY, FRANCISCO ELSON, DERMARR JOHNSON, VOSHON LENARD, KENYON MARTIN, ANDRE MILLER, NENE, MARK POPE, BRYON RUSSELL, NIKOLOZ TSKITISHVILI, RODNEY WHITE",14,18716.0,2880,6294,6.095,286,865,2.994,1731,2258,9.33,915,2338,3253,1902,714,471,1144,1777,7777,291.0,44.7,99.7,6.095,5.4,16.1,2.994,25.8,34.6,9.33,14.3,36.9,51.3,27.9,10.8,7.5,17.3,27.8,120.8,7516.52,19.277247275058777,0.5335834412804356,0.48029869717190976
7,7,2004,0,DET,1610612765,"CHAUNCEY BILLUPS, DERRICK COLEMAN, CARLOS DELFINO, RONALD DUPREE, ANTHONY GOLDWIRE, DARVIN HAM, RICHARD HAMILTON, LINDSEY HUNTER, HORACE JENKINS, ANTONIO MCDYESS, DARKO MILICIC, SMUSH PARKER, TAYSHAUN PRINCE, BEN WALLACE, RASHEED WALLACE",15,18908.0,2738,6108,5.967,362,1039,3.087,1482,2013,10.914,1014,2407,3421,1643,544,490,991,1515,7320,290.7,39.6,91.9,5.967,5.2,16.3,3.087,22.7,30.8,10.914,14.8,36.9,51.9,23.5,8.0,7.1,15.4,24.6,107.0,6970.72,17.695925534165433,0.5233266416156208,0.47789783889980353
8,8,2004,0,GSW,1610612744,"ANDRIS BIEDRINS, CALBERT CHEANEY, SPEEDY CLAXTON, DALE DAVIS, MIKE DUNLEAVY, DEREK FISHER, LUIS FLORES, ADONAL FOYLE, TROY MURPHY, EDUARDO NAJERA, MICKAEL PIETRUS, JASON RICHARDSON, CLIFFORD ROBINSON, ANSU SESAY",14,18247.0,2737,6335,6.171,530,1495,3.457,1243,1734,9.571,1015,2256,3271,1539,580,401,939,1678,7247,308.4,45.2,103.9,6.171,8.1,23.2,3.457,20.5,29.5,9.571,17.8,37.6,55.2,26.5,9.9,7.0,15.9,30.4,118.6,7021.96,18.47175316490382,0.5104987912019792,0.4738752959747435
9,9,2004,0,HOU,1610612745,"ANDRE BARRETT, RYAN BOWEN, TORRAYE BRAGGS, REECE GAINES, JUWAN HOWARD, JIM JACKSON, BRANDIN KNIGHT, TYRONN LUE, TRACY MCGRADY, DIKEMBE MUTOMBO, BOSTJAN NACHBAR, SCOTT PADGETT, ROD STRICKLAND, BOB SURA, MAURICE TAYLOR, CHARLIE WARD, CLAR. WEATHERSPOON, YAO MING",18,16039.0,2386,5319,6.819,361,1046,4.436,1358,1756,12.395,813,2289,3102,1354,430,361,930,1521,6491,348.4,44.0,105.0,6.819,9.0,26.1,4.436,22.5,28.9,12.395,14.3,44.8,59.1,31.6,8.9,5.1,19.4,33.0,119.9,6208.64,18.58062971506952,0.5327793500600824,0.48251551043429214
