,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,76003,KAREEM ABDUL-JABBAR,1985,0,1610612747,LAL,39.0,79,79.0,2629.0,755,1338,0.564,0.0,2.0,0.0,336,439,0.765,133.0,345.0,478,280,67.0,130.0,203.0,248,1846,33.3,9.6,16.9,0.564,0.0,0.0,0.0,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,0.6028109407246793,0.5642750373692078,0.9132750095093192,0.02544572303968217
1,76011,ALVAN ADAMS,1985,0,1610612756,PHX,31.0,78,45.0,2005.0,341,679,0.502,0.0,2.0,0.0,159,203,0.783,148.0,329.0,477,324,103.0,46.0,206.0,272,841,25.7,4.4,8.7,0.502,0.0,0.0,0.0,2.0,2.6,0.783,1.9,4.2,6.1,4.2,1.3,0.6,2.6,3.5,10.8,0.5472980008329862,0.5022091310751104,0.7162094763092269,0.009615026475286354
2,149,MICHAEL ADAMS,1985,0,1610612758,SAC,23.0,18,0.0,139.0,16,44,0.364,0.0,3.0,0.0,8,12,0.667,2.0,4.0,6,22,9.0,1.0,11.0,9,40,7.7,0.9,2.4,0.364,0.0,0.2,0.0,0.4,0.7,0.667,0.1,0.2,0.3,1.2,0.5,0.1,0.6,0.5,2.2,0.40584415584415584,0.36363636363636365,0.41007194244604317,3.149843255641732e-05
3,76016,MARK AGUIRRE,1985,0,1610612742,DAL,26.0,74,73.0,2501.0,668,1327,0.503,16.0,56.0,0.286,318,451,0.705,177.0,268.0,445,339,62.0,14.0,252.0,229,1670,33.8,9.0,17.9,0.503,0.2,0.8,0.286,4.3,6.1,0.705,2.4,3.6,6.0,4.6,0.8,0.2,3.4,3.1,22.6,0.5473830501363541,0.5094197437829691,0.8804478208716513,0.02749453890431142
4,76017,DANNY AINGE,1985,0,1610612738,BOS,27.0,80,78.0,2407.0,353,701,0.504,26.0,73.0,0.356,123,136,0.904,47.0,188.0,235,405,94.0,7.0,129.0,204,855,30.1,4.4,8.8,0.504,0.3,0.9,0.356,1.5,1.7,0.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,2.6,10.7,0.5618789758687766,0.5221112696148359,0.5675114250103864,0.011074977850555539
5,76046,RON ANDERSON,1985,0,1610612739,CLE,27.0,17,3.0,207.0,37,74,0.5,0.0,1.0,0.0,12,16,0.75,5.0,21.0,26,8,1.0,0.0,6.0,20,86,12.2,2.2,4.4,0.5,0.0,0.1,0.0,0.7,0.9,0.75,0.3,1.2,1.5,0.5,0.1,0.0,0.4,1.2,5.1,0.5306021717670286,0.5,0.5507246376811594,0.00010725640877828576
6,76082,JOHN BAGLEY,1985,0,1610612739,CLE,26.0,78,77.0,2472.0,366,865,0.423,9.0,37.0,0.243,170,215,0.791,76.0,199.0,275,735,122.0,10.0,239.0,165,911,31.7,4.7,11.1,0.423,0.1,0.5,0.243,2.2,2.8,0.791,1.0,2.6,3.5,9.4,1.6,0.1,3.1,2.1,11.7,0.4746769487286369,0.4283236994219653,0.68042071197411,0.013568170684048383
7,76085,JAMES BAILEY,1985,0,1610612752,NYK,29.0,48,36.0,1245.0,202,443,0.456,0.0,4.0,0.0,129,167,0.772,102.0,232.0,334,50,33.0,40.0,99.0,207,533,25.9,4.2,9.2,0.456,0.0,0.1,0.0,2.7,3.5,0.772,2.1,4.8,7.0,1.0,0.7,0.8,2.1,4.3,11.1,0.5159928748451054,0.45598194130925507,0.6570281124497992,0.0041396012904918586
8,1847,THURL BAILEY,1985,0,1610612762,UTH,25.0,82,13.0,2358.0,483,1077,0.448,0.0,7.0,0.0,230,277,0.83,148.0,345.0,493,153,42.0,114.0,144.0,160,1196,28.8,5.9,13.1,0.448,0.0,0.1,0.0,2.8,3.4,0.83,1.8,4.2,6.0,1.9,0.5,1.4,1.8,2.0,14.6,0.4987988789536901,0.44846796657381616,0.7201017811704835,0.017558546387893573
9,76091,GREG BALLARD,1985,0,1610612744,GOS,31.0,75,14.0,1792.0,272,570,0.477,17.0,35.0,0.486,101,126,0.802,132.0,285.0,417,83,65.0,8.0,54.0,174,662,23.9,3.6,7.6,0.477,0.2,0.5,0.486,1.3,1.7,0.802,1.8,3.8,5.6,1.1,0.9,0.1,0.7,2.3,8.8,0.5292274238935789,0.4921052631578947,0.6183035714285714,0.006449610083430915
