,PLAYER_ID,PLAYER_FULLNAME,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,TS%,eFG%,PER,WS
0,76001,ALAA ABDELNABY,1994,0,1610612758,SAC,27.0,51,0,476.0,117,220,0.532,0.0,2.0,0.0,20,35,0.571,34,72,106,13,15,12,40.0,102,254,9.3,2.3,4.3,0.532,0.0,0.0,0.0,0.4,0.7,0.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2.0,5.0,0.5395072217502124,0.5318181818181819,0.6995798319327731,0.0007558773301070298
1,51,MAHMOUD ABDUL-RAUF,1994,0,1610612743,DEN,26.0,73,43,2082.0,472,1005,0.47,83.0,215.0,0.386,138,156,0.885,32,105,137,263,77,9,119.0,126,1165,28.5,6.5,13.8,0.47,1.1,2.9,0.386,1.9,2.1,0.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0,0.542546849968332,0.5109452736318408,0.6945244956772334,0.014610410145372234
2,149,MICHAEL ADAMS,1994,0,1610612766,CHH,32.0,29,0,443.0,67,148,0.453,29.0,81.0,0.358,25,30,0.833,6,23,29,95,23,1,26.0,41,188,15.3,2.3,5.1,0.453,1.0,2.8,0.358,0.9,1.0,0.833,0.2,0.8,1.0,3.3,0.8,0.0,0.9,1.4,6.5,0.5831265508684864,0.5506756756756757,0.6455981941309256,0.000509783089694775
3,912,RAFAEL ADDISON,1994,0,1610612765,DET,30.0,79,16,1776.0,279,586,0.476,24.0,83.0,0.289,74,99,0.747,67,175,242,109,53,25,76.0,236,656,22.5,3.5,7.4,0.476,0.3,1.1,0.289,0.9,1.3,0.747,0.8,2.2,3.1,1.4,0.7,0.3,1.0,3.0,8.3,0.5209987928076752,0.49658703071672355,0.5242117117117117,0.007762916338840808
4,76017,DANNY AINGE,1994,0,1610612756,PHX,36.0,74,1,1374.0,194,422,0.46,78.0,214.0,0.364,105,130,0.808,25,84,109,210,46,7,79.0,155,571,18.6,2.6,5.7,0.46,1.1,2.9,0.364,1.4,1.8,0.808,0.3,1.1,1.5,2.8,0.6,0.1,1.1,2.1,7.7,0.5957846410684474,0.5521327014218009,0.5902474526928675,0.004360629774998653
5,2349,VICTOR ALEXANDER,1994,0,1610612744,GOS,25.0,50,29,1237.0,230,447,0.515,6.0,25.0,0.24,36,60,0.6,87,204,291,60,28,29,76.0,145,502,24.7,4.6,8.9,0.515,0.1,0.5,0.24,0.7,1.2,0.6,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10.0,0.530207013096747,0.5212527964205816,0.6281325788197252,0.0045663893188431885
6,308,DERRICK ALSTON,1994,0,1610612755,PHL,22.0,64,1,1032.0,120,258,0.465,0.0,4.0,0.0,59,120,0.492,98,121,219,33,39,35,53.0,107,299,16.1,1.9,4.0,0.465,0.0,0.1,0.0,0.9,1.9,0.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7,0.481016731016731,0.46511627906976744,0.48255813953488375,0.001995899766463272
7,246,GREG ANDERSON,1994,0,1610612737,ATL,31.0,51,0,622.0,57,104,0.548,0.0,0.0,0.0,34,71,0.479,62,126,188,17,23,32,32.0,103,148,12.2,1.1,2.0,0.548,0.0,0.0,0.0,0.7,1.4,0.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2.0,2.9,0.5471753918958887,0.5480769230769231,0.5160771704180064,0.00109675459003281
8,72,KENNY ANDERSON,1994,0,1610612751,NJN,24.0,72,70,2689.0,411,1031,0.399,97.0,294.0,0.33,348,414,0.841,73,177,250,680,103,14,225.0,184,1267,37.3,5.7,14.3,0.399,1.3,4.1,0.33,4.8,5.8,0.841,1.0,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6,0.5221899831844109,0.4456838021338506,0.7333581256972852,0.021310172649925917
9,98,NICK ANDERSON,1994,0,1610612753,ORL,27.0,76,76,2588.0,439,923,0.476,179.0,431.0,0.415,143,203,0.704,85,250,335,314,125,22,141.0,124,1200,34.1,5.8,12.1,0.476,2.4,5.7,0.415,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8,0.5926979611190137,0.5725893824485374,0.6599690880989181,0.017140621368497803
10,335,WILLIE ANDERSON,1994,0,1610612759,SAN,28.0,38,11,556.0,76,162,0.469,3.0,19.0,0.158,30,41,0.732,15,40,55,52,26,10,38.0,71,185,14.6,2.0,4.3,0.469,0.1,0.5,0.158,0.8,1.1,0.732,0.4,1.1,1.4,1.4,0.7,0.3,1.0,1.9,4.9,0.5137747167296156,0.4783950617283951,0.4568345323741007,0.0006468324787705348
11,21,GREG ANTHONY,1994,0,1610612752,NYK,27.0,61,2,943.0,128,293,0.437,56.0,155.0,0.361,60,76,0.789,7,57,64,160,50,7,57.0,99,372,15.5,2.1,4.8,0.437,0.9,2.5,0.361,1.0,1.2,0.789,0.1,0.9,1.0,2.6,0.8,0.1,0.9,1.6,6.1,0.569783114814361,0.5324232081911263,0.5715800636267232,0.0022019969854643945
12,769,B.J. ARMSTRONG,1994,0,1610612741,CHI,27.0,82,82,2577.0,418,894,0.468,108.0,253.0,0.427,206,233,0.884,25,161,186,244,84,8,103.0,159,1150,31.4,5.1,10.9,0.468,1.3,3.1,0.427,2.5,2.8,0.884,0.3,2.0,2.3,3.0,1.0,0.1,1.3,1.9,14.0,0.5770079877975355,0.5279642058165548,0.5731470702367093,0.01795168845093202
13,353,DARRELL ARMSTRONG,1994,0,1610612753,ORL,27.0,3,0,8.0,3,8,0.375,2.0,6.0,0.333,2,2,1.0,1,0,1,3,1,0,1.0,3,10,2.7,1.0,2.7,0.375,0.7,2.0,0.333,0.7,0.7,1.0,0.3,0.0,0.3,1.0,0.3,0.0,0.3,1.0,3.3,0.563063063063063,0.5,1.625,4.415409935213242e-07
14,355,VINCENT ASKEW,1994,0,1610612760,SEA,29.0,71,1,1721.0,248,504,0.492,31.0,94.0,0.33,176,238,0.739,65,116,181,176,49,13,85.0,191,703,24.2,3.5,7.1,0.492,0.4,1.3,0.33,2.5,3.4,0.739,0.9,1.6,2.5,2.5,0.7,0.2,1.2,2.7,9.9,0.577441188066763,0.5228174603174603,0.5665310865775712,0.00673790721964974
15,173,KEITH ASKINS,1994,0,1610612748,MIA,27.0,50,5,854.0,81,207,0.391,21.0,78.0,0.269,46,57,0.807,86,112,198,39,35,17,25.0,109,229,17.1,1.6,4.1,0.391,0.4,1.6,0.269,0.9,1.1,0.807,1.7,2.2,4.0,0.8,0.7,0.3,0.5,2.2,4.6,0.49336435711823506,0.4420289855072464,0.5163934426229508,0.0015794921337469931
16,278,STACEY AUGMON,1994,0,1610612737,ATL,26.0,76,76,2362.0,397,876,0.453,7.0,26.0,0.269,252,346,0.728,157,211,368,197,100,47,152.0,163,1053,31.1,5.2,11.5,0.453,0.1,0.3,0.269,3.3,4.6,0.728,2.1,2.8,4.8,2.6,1.3,0.6,2.0,2.1,13.9,0.5120399906636582,0.4571917808219178,0.6206604572396275,0.029632317956084828
17,138,ANTHONY AVENT,1994,0,1610612753,ORL,25.0,71,3,1066.0,105,244,0.43,0.0,0.0,0.0,48,75,0.64,97,196,293,41,28,50,53.0,170,258,15.0,1.5,3.4,0.43,0.0,0.0,0.0,0.7,1.1,0.64,1.4,2.8,4.1,0.6,0.4,0.7,0.7,2.4,3.6,0.4657039711191336,0.430327868852459,0.5056285178236398,0.0015179517045772843
18,452,VIN BAKER,1994,0,1610612749,MIL,23.0,82,82,3361.0,594,1229,0.483,7.0,24.0,0.292,256,432,0.593,289,557,846,296,86,116,221.0,277,1451,41.0,7.2,15.0,0.483,0.1,0.3,0.292,3.1,5.3,0.593,3.5,6.8,10.3,3.6,1.0,1.4,2.7,3.4,17.7,0.5112467232291344,0.4861676159479251,0.7057423385897055,0.030152382084129084
19,787,CHARLES BARKLEY,1994,0,1610612756,PHX,32.0,68,66,2382.0,554,1141,0.486,74.0,219.0,0.338,379,507,0.748,203,553,756,276,110,45,150.0,201,1561,35.0,8.1,16.8,0.486,1.1,3.2,0.338,5.6,7.5,0.748,3.0,8.1,11.1,4.1,1.6,0.7,2.2,3.0,23.0,0.5721805172717143,0.5179666958808063,1.0256087321578506,0.020666695235301895
20,344,DANA BARROS,1994,0,1610612755,PHL,28.0,82,82,3318.0,571,1165,0.49,197.0,425.0,0.464,347,386,0.899,27,247,274,619,149,4,242.0,159,1686,40.5,7.0,14.2,0.49,2.4,5.2,0.464,4.2,4.7,0.899,0.3,3.0,3.3,7.5,1.8,0.0,3.0,1.9,20.6,0.6315363639087831,0.5746781115879829,0.7043399638336347,0.03618443483044574
21,468,JON BARRY,1994,0,1610612749,MIL,25.0,52,0,602.0,57,134,0.425,16.0,48.0,0.333,61,80,0.763,15,34,49,85,30,4,41.0,54,191,11.6,1.1,2.6,0.425,0.3,0.9,0.333,1.2,1.5,0.763,0.3,0.7,0.9,1.6,0.6,0.1,0.8,1.0,3.7,0.5644208037825059,0.48507462686567165,0.4717607973421927,0.0007109115355910513
22,174,JOHN BATTLE,1994,0,1610612739,CLE,32.0,28,0,280.0,43,114,0.377,11.0,31.0,0.355,19,26,0.731,3,8,11,37,8,1,17.0,28,116,10.0,1.5,4.1,0.377,0.4,1.1,0.355,0.7,0.9,0.731,0.1,0.3,0.4,1.3,0.3,0.0,0.6,1.0,4.1,0.46237244897959184,0.42543859649122806,0.525,0.00021972549061258698
23,76128,SERGEI BAZAREVICH,1994,0,1610612737,ATL,30.0,10,0,74.0,11,22,0.5,1.0,6.0,0.167,7,9,0.778,1,6,7,14,1,1,7.0,10,30,7.4,1.1,2.2,0.5,0.1,0.6,0.167,0.7,0.9,0.778,0.1,0.6,0.7,1.4,0.1,0.1,0.7,1.0,3.0,0.5778120184899845,0.5227272727272727,0.5945945945945946,2.64490656760324e-05
24,104,BENOIT BENJAMIN,1994,0,1610612751,NJN,30.0,61,57,1598.0,271,531,0.51,0.0,0.0,0.0,133,175,0.76,94,346,440,38,23,64,125.0,151,675,26.2,4.4,8.7,0.51,0.0,0.0,0.0,2.2,2.9,0.76,1.5,5.7,7.2,0.6,0.4,1.0,2.0,2.5,11.1,0.5550986842105263,0.5103578154425612,0.6433041301627034,0.006746835151671031
25,1120,ELMER BENNETT,1994,0,1610612739,CLE,25.0,4,0,18.0,6,11,0.545,0.0,2.0,0.0,3,4,0.75,0,1,1,3,4,0,3.0,3,15,4.5,1.5,2.8,0.545,0.0,0.5,0.0,0.8,1.0,0.75,0.0,0.3,0.3,0.8,1.0,0.0,0.8,0.8,3.8,0.5877742946708464,0.5454545454545454,0.8888888888888888,1.8265357901908397e-06
26,76148,TONY BENNETT,1994,0,1610612766,CHH,26.0,3,0,46.0,6,13,0.462,2.0,9.0,0.222,0,0,0.0,0,2,2,4,0,0,3.0,6,14,15.3,2.0,4.3,0.462,0.7,3.0,0.222,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.0,0.0,1.0,2.0,4.7,0.5384615384615384,0.5384615384615384,0.3695652173913043,3.941937344068911e-06
27,128,DAVID BENOIT,1994,0,1610612762,UTH,27.0,71,67,1841.0,285,587,0.486,38.0,115.0,0.33,132,157,0.841,96,272,368,58,45,47,75.0,183,740,25.9,4.0,8.3,0.486,0.5,1.6,0.33,1.9,2.2,0.841,1.4,3.8,5.2,0.8,0.6,0.7,1.1,2.6,10.4,0.5639556151688818,0.5178875638841567,0.5926127104834329,0.008575023175738314
28,1806,JAMES BLACKWELL,1994,0,1610612766,CHH,27.0,4,0,19.0,2,3,0.667,0.0,0.0,0.0,0,0,0.0,0,3,3,5,1,0,2.0,1,4,4.8,0.5,0.8,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,0.3,0.0,0.5,0.3,1.0,0.6666666666666666,0.6666666666666666,0.5263157894736842,4.651975747658962e-07
29,302,MOOKIE BLAYLOCK,1994,0,1610612737,ATL,28.0,80,80,3069.0,509,1198,0.425,199.0,555.0,0.359,156,214,0.729,117,276,393,616,200,26,242.0,164,1373,38.4,6.4,15.0,0.425,2.5,6.9,0.359,2.0,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3.0,2.1,17.2,0.5312809559187717,0.5079298831385642,0.6972955360052134,0.05020243542996745
30,916,CORIE BLOUNT,1994,0,1610612741,CHI,26.0,68,9,889.0,100,210,0.476,0.0,2.0,0.0,38,67,0.567,107,133,240,60,26,33,59.0,146,238,13.1,1.5,3.1,0.476,0.0,0.0,0.0,0.6,1.0,0.567,1.6,2.0,3.5,0.9,0.4,0.5,0.9,2.1,3.5,0.4969099716051445,0.47619047619047616,0.5388076490438695,0.0012816568459533663
31,177,MUGGSY BOGUES,1994,0,1610612766,CHH,30.0,78,78,2629.0,348,730,0.477,6.0,30.0,0.2,160,180,0.889,51,206,257,675,103,0,132.0,151,862,33.7,4.5,9.4,0.477,0.1,0.4,0.2,2.1,2.3,0.889,0.7,2.6,3.3,8.7,1.3,0.0,1.7,1.9,11.1,0.532624814631735,0.4808219178082192,0.6321795359452264,0.01387144491499111
32,76195,MANUTE BOL,1994,0,1610612744,GOS,32.0,5,2,81.0,6,10,0.6,3.0,5.0,0.6,0,0,0.0,1,11,12,0,0,9,1.0,10,15,16.2,1.2,2.0,0.6,0.6,1.0,0.6,0.0,0.0,0.0,0.2,2.2,2.4,0.0,0.0,1.8,0.2,2.0,3.0,0.75,0.75,0.32098765432098764,8.934614045667731e-06
33,1603,WALTER BOND,1994,0,1610612765,DET,26.0,5,0,51.0,3,12,0.25,1.0,4.0,0.25,3,4,0.75,1,4,5,7,1,0,3.0,10,10,10.2,0.6,2.4,0.25,0.2,0.8,0.25,0.6,0.8,0.75,0.2,0.8,1.0,1.4,0.2,0.0,0.6,2.0,2.0,0.3633720930232558,0.2916666666666667,0.37254901960784315,3.398194878880339e-06
34,41,ANTHONY BONNER,1994,0,1610612752,NYK,27.0,58,23,1126.0,88,193,0.456,1.0,5.0,0.2,44,67,0.657,113,149,262,80,48,23,79.0,159,221,19.4,1.5,3.3,0.456,0.0,0.1,0.2,0.8,1.2,0.657,1.9,2.6,4.5,1.4,0.8,0.4,1.4,2.7,3.8,0.4966738583243438,0.4585492227979275,0.42984014209591476,0.0015620421608138996
35,194,ANTHONY BOWIE,1994,0,1610612753,ORL,31.0,77,4,1261.0,177,369,0.48,12.0,40.0,0.3,61,73,0.836,54,85,139,159,47,21,86.0,138,427,16.4,2.3,4.8,0.48,0.2,0.5,0.3,0.8,0.9,0.836,0.7,1.1,1.8,2.1,0.6,0.3,1.1,1.8,5.5,0.5322596729158356,0.4959349593495935,0.5067406819984139,0.0029718302917322056
36,76217,SAM BOWIE,1994,0,1610612747,LAL,34.0,67,10,1225.0,118,267,0.442,2.0,11.0,0.182,68,89,0.764,72,216,288,118,21,80,91.0,182,306,18.3,1.8,4.0,0.442,0.0,0.2,0.182,1.0,1.3,0.764,1.1,3.2,4.3,1.8,0.3,1.2,1.4,2.7,4.6,0.4997386987196237,0.44569288389513106,0.506938775510204,0.002296060630064273
37,762,SHAWN BRADLEY,1994,0,1610612755,PHL,23.0,82,59,2365.0,315,693,0.455,0.0,3.0,0.0,148,232,0.638,243,416,659,53,54,274,142.0,338,778,28.8,3.8,8.5,0.455,0.0,0.0,0.0,1.8,2.8,0.638,3.0,5.1,8.0,0.6,0.7,3.3,1.7,4.1,9.5,0.48925894249635254,0.45454545454545453,0.5699788583509514,0.011901414577336037
38,210,TERRELL BRANDON,1994,0,1610612739,CLE,25.0,67,41,1961.0,341,762,0.448,48.0,121.0,0.397,159,186,0.855,35,151,186,363,107,14,144.0,118,889,29.3,5.1,11.4,0.448,0.7,1.8,0.397,2.4,2.8,0.855,0.5,2.3,2.8,5.4,1.6,0.2,2.1,1.8,13.3,0.5267586272279104,0.479002624671916,0.6598674145843957,0.011793528935472619
39,160,TIM BREAUX,1994,0,1610612745,HOU,24.0,42,2,340.0,45,121,0.372,6.0,25.0,0.24,32,49,0.653,16,18,34,15,11,4,16.0,25,128,8.1,1.1,2.9,0.372,0.1,0.6,0.24,0.8,1.2,0.653,0.4,0.4,0.8,0.4,0.3,0.1,0.4,0.6,3.0,0.4489337822671156,0.39669421487603307,0.47352941176470587,0.00031195017616655066
40,418,SCOTT BROOKS,1994,0,1610612745,HOU,29.0,28,0,186.0,35,65,0.538,8.0,17.0,0.471,18,21,0.857,1,12,13,22,8,1,14.0,14,96,6.6,1.3,2.3,0.538,0.3,0.6,0.471,0.6,0.8,0.857,0.0,0.4,0.5,0.8,0.3,0.0,0.5,0.5,3.4,0.646551724137931,0.6,0.6290322580645161,0.00012799132228009946
41,359,CHUCKY BROWN,1994,0,1610612745,HOU,27.0,41,14,814.0,105,174,0.603,1.0,3.0,0.333,38,62,0.613,64,125,189,30,11,14,29.0,105,249,19.9,2.6,4.2,0.603,0.0,0.1,0.333,0.9,1.5,0.613,1.6,3.0,4.6,0.7,0.3,0.3,0.7,2.6,6.1,0.6185413354531002,0.6063218390804598,0.5393120393120393,0.001452847734524207
42,244,DEE BROWN,1994,0,1610612738,BOS,26.0,79,69,2792.0,437,977,0.447,126.0,327.0,0.385,236,277,0.852,63,186,249,301,110,49,146.0,181,1236,35.3,5.5,12.4,0.447,1.6,4.1,0.385,3.0,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6,0.5623907979033197,0.5117707267144319,0.5873925501432665,0.020852494430411102
43,1479,MIKE BROWN,1994,0,1610612750,MIN,31.0,27,0,213.0,10,40,0.25,0.0,1.0,0.0,15,27,0.556,9,36,45,10,7,0,16.0,35,35,7.9,0.4,1.5,0.25,0.0,0.0,0.0,0.6,1.0,0.556,0.3,1.3,1.7,0.4,0.3,0.0,0.6,1.3,1.3,0.3373168851195065,0.25,0.3474178403755869,5.9440754590612265e-05
44,136,P.J. BROWN,1994,0,1610612751,NJN,25.0,80,63,2466.0,254,570,0.446,4.0,24.0,0.167,139,207,0.671,178,309,487,135,69,135,80.0,262,651,30.8,3.2,7.1,0.446,0.1,0.3,0.167,1.7,2.6,0.671,2.2,3.9,6.1,1.7,0.9,1.7,1.0,3.3,8.1,0.4923761118170267,0.44912280701754387,0.483779399837794,0.010041384842254222
45,753,RANDY BROWN,1994,0,1610612758,SAC,27.0,67,2,1086.0,124,287,0.432,14.0,47.0,0.298,55,82,0.671,24,84,108,133,99,19,78.0,153,317,16.2,1.9,4.3,0.432,0.2,0.7,0.298,0.8,1.2,0.671,0.4,1.3,1.6,2.0,1.5,0.3,1.2,2.3,4.7,0.49059056580413524,0.4564459930313589,0.4419889502762431,0.002152284799653496
46,95,MARK BRYANT,1994,0,1610612757,POR,30.0,49,0,658.0,101,192,0.526,1.0,2.0,0.5,41,63,0.651,55,106,161,28,19,16,39.0,109,244,13.4,2.1,3.9,0.526,0.0,0.0,0.5,0.8,1.3,0.651,1.1,2.2,3.3,0.6,0.4,0.3,0.8,2.2,5.0,0.5552521390861096,0.5286458333333334,0.5987841945288754,0.0010686054026591775
47,146,JUD BUECHLER,1994,0,1610612741,CHI,27.0,57,0,605.0,90,183,0.492,15.0,48.0,0.313,22,39,0.564,36,62,98,50,24,12,30.0,64,217,10.6,1.6,3.2,0.492,0.3,0.8,0.313,0.4,0.7,0.564,0.6,1.1,1.7,0.9,0.4,0.2,0.5,1.1,3.8,0.542066346922462,0.5327868852459017,0.5537190082644629,0.0007952581931401901
48,197,SCOTT BURRELL,1994,0,1610612766,CHH,24.0,65,62,2014.0,277,593,0.467,96.0,235.0,0.409,100,144,0.694,96,272,368,161,75,40,85.0,187,750,31.0,4.3,9.1,0.467,1.5,3.6,0.409,1.5,2.2,0.694,1.5,4.2,5.7,2.5,1.2,0.6,1.3,2.9,11.5,0.5713328051678956,0.5480607082630692,0.5928500496524329,0.009245801798472187
49,416,WILLIE BURTON,1994,0,1610612755,PHL,27.0,53,31,1564.0,243,606,0.401,106.0,275.0,0.385,220,267,0.824,49,115,164,96,32,19,122.0,167,812,29.5,4.6,11.4,0.401,2.0,5.2,0.385,4.2,5.0,0.824,0.9,2.2,3.1,1.8,0.6,0.4,2.3,3.2,15.3,0.5611765356333278,0.4884488448844885,0.6074168797953964,0.008214490273183961
50,348,MITCHELL BUTLER,1994,0,1610612764,WAS,24.0,76,5,1554.0,214,508,0.421,46.0,141.0,0.326,123,185,0.665,43,127,170,91,61,10,106.0,155,597,20.4,2.8,6.7,0.421,0.6,1.9,0.326,1.6,2.4,0.665,0.6,1.7,2.2,1.2,0.8,0.1,1.4,2.0,7.9,0.506447234475738,0.46653543307086615,0.4839124839124839,0.005669213909555757
51,262,MICHAEL CAGE,1994,0,1610612739,CLE,33.0,82,21,2040.0,177,340,0.521,0.0,2.0,0.0,53,88,0.602,203,361,564,56,61,67,56.0,149,407,24.9,2.2,4.1,0.521,0.0,0.0,0.0,0.6,1.1,0.602,2.5,4.4,6.9,0.7,0.7,0.8,0.7,1.8,5.0,0.5373362906632868,0.5205882352941177,0.4759803921568627,0.005616800503257966
52,154,ADRIAN CALDWELL,1994,0,1610612745,HOU,28.0,7,0,30.0,1,4,0.25,0.0,0.0,0.0,3,6,0.5,1,9,10,0,1,0,1.0,6,5,4.3,0.1,0.6,0.25,0.0,0.0,0.0,0.4,0.9,0.5,0.1,1.3,1.4,0.0,0.1,0.0,0.1,0.9,0.7,0.3765060240963855,0.25,0.4666666666666667,1.0751959196916958e-06
53,922,ELDEN CAMPBELL,1994,0,1610612747,LAL,26.0,73,59,2076.0,360,785,0.459,0.0,1.0,0.0,193,290,0.666,168,277,445,92,69,132,98.0,246,913,28.4,4.9,10.8,0.459,0.0,0.0,0.0,2.6,4.0,0.666,2.3,3.8,6.1,1.3,0.9,1.8,1.3,3.4,12.5,0.5002191540653079,0.4585987261146497,0.651252408477842,0.011609779286371249
54,76338,TONY CAMPBELL,1994,0,1610612739,CLE,33.0,78,0,1128.0,161,392,0.411,15.0,42.0,0.357,132,159,0.83,60,93,153,69,32,8,65.0,122,469,14.5,2.1,5.0,0.411,0.2,0.5,0.357,1.7,2.0,0.83,0.8,1.2,2.0,0.9,0.4,0.1,0.8,1.6,6.0,0.5076197073339683,0.4298469387755102,0.5549645390070922,0.003578873637615705
55,156,ANTOINE CARR,1994,0,1610612762,UTH,33.0,78,4,1677.0,290,546,0.531,1.0,4.0,0.25,165,201,0.821,81,184,265,67,24,68,87.0,253,746,21.5,3.7,7.0,0.531,0.0,0.1,0.25,2.1,2.6,0.821,1.0,2.4,3.4,0.9,0.3,0.9,1.1,3.2,9.6,0.5879200554819998,0.532051282051282,0.5909361955873583,0.007874476374342682
56,76362,BILL CARTWRIGHT,1994,0,1610612760,SEA,37.0,29,19,430.0,27,69,0.391,0.0,0.0,0.0,15,24,0.625,25,62,87,10,6,3,18.0,70,69,14.8,0.9,2.4,0.391,0.0,0.0,0.0,0.5,0.8,0.625,0.9,2.1,3.0,0.3,0.2,0.1,0.6,2.4,2.4,0.4336349924585219,0.391304347826087,0.34418604651162793,0.00016523664845276512
57,208,SAM CASSELL,1994,0,1610612745,HOU,25.0,82,1,1882.0,253,593,0.427,63.0,191.0,0.33,214,254,0.843,38,173,211,405,94,14,167.0,209,783,23.0,3.1,7.2,0.427,0.8,2.3,0.33,2.6,3.1,0.843,0.5,2.1,2.6,4.9,1.1,0.2,2.0,2.5,9.5,0.5555082581304274,0.4797639123102867,0.6546227417640808,0.010562767722888007
58,190,DUANE CAUSWELL,1994,0,1610612758,SAC,27.0,58,24,820.0,76,147,0.517,0.0,1.0,0.0,57,98,0.582,57,117,174,15,14,80,33.0,146,209,14.1,1.3,2.5,0.517,0.0,0.0,0.0,1.0,1.7,0.582,1.0,2.0,3.0,0.3,0.2,1.4,0.6,2.5,3.6,0.5496528508310541,0.5170068027210885,0.4451219512195122,0.0010714472377567554
59,76,CEDRIC CEBALLOS,1994,0,1610612747,LAL,25.0,58,54,2029.0,497,977,0.509,58.0,146.0,0.397,209,292,0.716,169,295,464,105,60,19,143.0,131,1261,35.0,8.6,16.8,0.509,1.0,2.5,0.397,3.6,5.0,0.716,2.9,5.1,8.0,1.8,1.0,0.3,2.5,2.3,21.7,0.5703404855809241,0.5383828045035824,0.8314440611138492,0.01567194757957294
60,1472,TOM CHAMBERS,1994,0,1610612762,UTH,36.0,81,4,1240.0,195,427,0.457,4.0,24.0,0.167,109,135,0.807,66,147,213,73,25,30,52.0,173,503,15.3,2.4,5.3,0.457,0.0,0.3,0.167,1.3,1.7,0.807,0.8,1.8,2.6,0.9,0.3,0.4,0.6,2.1,6.2,0.5170641447368421,0.4613583138173302,0.5943548387096774,0.00392590209138064
61,364,REX CHAPMAN,1994,0,1610612764,WAS,27.0,45,29,1468.0,254,639,0.397,86.0,274.0,0.314,137,159,0.862,23,90,113,128,67,15,62.0,85,731,32.6,5.6,14.2,0.397,1.9,6.1,0.314,3.0,3.5,0.862,0.5,2.0,2.5,2.8,1.5,0.3,1.4,1.9,16.2,0.5155438952832317,0.4647887323943662,0.6198910081743869,0.006557539736494096
62,384,CALBERT CHEANEY,1994,0,1610612764,WAS,23.0,78,71,2651.0,512,1129,0.453,96.0,283.0,0.339,173,213,0.812,105,216,321,177,80,21,151.0,215,1293,34.0,6.6,14.5,0.453,1.2,3.6,0.339,2.2,2.7,0.812,1.3,2.8,4.1,2.3,1.0,0.3,1.9,2.8,16.6,0.5287392043967548,0.49601417183348095,0.6186344775556394,0.02094622435858225
63,432,PETE CHILCUTT,1994,0,1610612745,HOU,26.0,68,17,1347.0,146,328,0.445,35.0,86.0,0.407,31,42,0.738,106,211,317,66,25,43,61.0,117,358,19.8,2.1,4.8,0.445,0.5,1.3,0.407,0.5,0.6,0.738,1.6,3.1,4.7,1.0,0.4,0.6,0.9,1.7,5.3,0.5166243361810205,0.49847560975609756,0.5048255382331106,0.0034565828504616513
64,164,CHRIS CHILDS,1994,0,1610612751,NJN,27.0,53,11,1021.0,106,279,0.38,41.0,125.0,0.328,55,73,0.753,14,55,69,219,42,3,76.0,116,308,19.3,2.0,5.3,0.38,0.8,2.4,0.328,1.0,1.4,0.753,0.3,1.0,1.3,4.1,0.8,0.1,1.4,2.2,5.8,0.4949858575469272,0.45340501792114696,0.5093046033300686,0.001966962180944408
65,57,DOUG CHRISTIE,1994,0,1610612752,NYK,25.0,12,0,79.0,5,22,0.227,1.0,7.0,0.143,4,5,0.8,3,10,13,8,2,1,13.0,18,15,6.6,0.4,1.8,0.227,0.1,0.6,0.143,0.3,0.4,0.8,0.3,0.8,1.1,0.7,0.2,0.1,1.1,1.5,1.3,0.30991735537190085,0.25,0.2911392405063291,7.438415568522182e-06
66,934,DERRICK COLEMAN,1994,0,1610612751,NJN,28.0,56,54,2103.0,371,875,0.424,28.0,120.0,0.233,376,490,0.767,167,424,591,187,35,94,172.0,162,1146,37.6,6.6,15.6,0.424,0.5,2.1,0.233,6.7,8.8,0.767,3.0,7.6,10.6,3.3,0.6,1.7,3.1,2.9,20.5,0.5253988630111865,0.44,0.833095577746077,0.015074518236001436
