,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
16,16,1998,0,NJN,1610612751,"EARL BOYKINS, SCOTT BURRELL, SAM CASSELL, BRIAN EVANS, CHRIS GATLING, KENDALL GILL, LUCIOUS HARRIS, MARK HENDRICKSON, DAMON JONES, KERRY KITTLES, JIM MCILVAINE, ERIC MURDOCK, GHEORGHE MURESAN, RONY SEIKALY, KEITH VAN HORN, DAVID VAUGHN, JAYSON WILLIAMS",17,9025.0,1245,3108,6.334,131,428,2.761,714,936,11.224,535,1121,1656,561,409,239,491,878,3335,328.3,43.9,110.4,6.334,5.0,16.8,2.761,28.5,36.3,11.224,18.5,39.0,57.4,24.5,13.3,8.5,21.8,34.4,121.4,3475.84,18.486462049861498,0.47374312468748575,0.42165379665379665
17,17,1998,0,NYK,1610612752,"RICK BRUNSON, MARCUS CAMBY, CHRIS CHILDS, BEN DAVIS, CHRIS DUDLEY, PATRICK EWING, ALLAN HOUSTON, LARRY JOHNSON, DENNIS SCOTT, LATRELL SPREWELL, KURT THOMAS, CHARLIE WARD, HERB WILLIAMS, DAVID WINGATE",14,12100.0,1610,3704,5.921,208,589,2.054,892,1218,8.39,551,1510,2061,963,395,262,775,1140,4320,286.5,38.5,89.2,5.921,4.800000000000001,14.1,2.054,21.0,29.5,8.39,13.9,35.5,49.2,22.0,9.1,6.4,18.0,26.7,102.6,4463.92,17.708112396694215,0.5094435744070642,0.46274298056155505
18,18,1998,0,ORL,1610612753,"NICK ANDERSON, DARRELL ARMSTRONG, IKE AUSTIN, MICHAEL DOLEAC, HORACE GRANT, ANFERNEE HARDAWAY, MATT HARPRING, JONATHAN KERNER, BO OUTLAW, DOUG OVERTON, DAN SCHAYES, MILES SIMON, DEREK STRONG, DOMINIQUE WILKINS, GERALD WILKINS",15,11866.0,1668,3897,5.454,222,668,1.947,866,1239,9.538,687,1422,2109,1033,487,213,783,919,4424,283.3,37.5,90.9,5.454,4.6,14.6,1.947,20.2,28.9,9.538,15.7,32.1,47.7,22.6,10.9,4.9,19.3,24.1,99.7,4538.16,18.357633574919937,0.49795594935797,0.4565050038491147
19,19,1998,0,PHI,1610612755,"BENOIT BENJAMIN, MATT GEIGER, HARVEY GRANT, LARRY HUGHES, ALLEN IVERSON, GEORGE LYNCH, RICK MAHORN, AARON MCKIE, NAZR MOHAMMED, ANTHONY PARKER, THEO RATLIFF, CASEY SHAW, ERIC SNOW, TIM THOMAS, SCOTT WILLIAMS",15,11436.0,1572,3691,5.84,93,356,1.898,1032,1409,7.518,662,1329,1991,909,521,261,736,1063,4269,268.0,34.8,83.7,5.84,2.1,7.9,1.898,22.2,30.6,7.518,15.8,30.7,46.3,20.3,12.4,6.1,17.8,27.0,94.3,4384.96,18.404868835257084,0.4951333345704901,0.43849905174749393
20,20,1998,0,PHX,1610612756,"TOBY BAILEY, GERALD BROWN, REX CHAPMAN, PAT GARRITY, TOM GUGLIOTTA, JASON KIDD, JOE KLEINE, RANDY LIVINGSTON, LUC LONGLEY, DANNY MANNING, GEORGE MCCLOUD, MARKO MILIC, CHRIS MORRIS, JIMMY OLIVER, SHAWN RESPERT, CLIFFORD ROBINSON, ALVIN SIMS",17,12050.0,1797,4004,7.386,261,702,5.43,924,1215,11.246,598,1418,2016,1249,444,200,653,1022,4779,318.3,48.5,106.8,7.386,6.7,17.6,5.43,23.5,30.7,11.246,15.0,35.5,50.6,32.2,12.9,4.5,17.8,27.200000000000003,127.3,4593.6,18.298157676348552,0.5264839377781695,0.4813936063936064
21,21,1998,0,POR,1610612757,"GREG ANTHONY, STACEY AUGMON, KELVIN CATO, JOHN CROTTY, BRIAN GRANT, GARY GRANT, JIM JACKSON, JERMAINE O'NEAL, ISAIAH RIDER, CARLOS ROGERS, ARVYDAS SABONIS, BRIAN SHAW, DAMON STOUDAMIRE, RASHEED WALLACE, BONZI WELLS, WALT WILLIAMS",16,12175.0,1747,3956,6.911,246,675,4.84,1002,1349,9.572,646,1570,2216,1073,411,290,744,1126,4742,275.9,39.7,89.6,6.911,5.4,14.3,4.84,23.2,33.3,9.572,14.4,35.1,49.5,26.8,9.7,6.4,17.1,26.3,108.2,4647.56,18.323029158110884,0.5211492979540878,0.47269969666329625
22,22,1998,0,SAC,1610612758,"TARIQ ABDUL-WAHAD, PETER ALUMA, JON BARRY, TERRY DEHERE, VLADE DIVAC, LAWRENCE FUNDERBURKE, MICHAEL HAWKINS, JEROME JAMES, VERNON MAXWELL, OLIVER MILLER, KEVIN OLLIE, SCOT POLLARD, PEJA STOJAKOVIC, CHRIS WEBBER, JASON WILLIAMS, CORLISS WILLIAMSON",16,12200.0,1918,4307,6.898,290,943,2.803,883,1293,9.374,706,1573,2279,1129,444,232,824,1016,5009,297.9,46.0,103.4,6.898,6.4,21.4,2.803,20.1,29.5,9.374,19.7,37.9,57.3,25.3,11.2,7.0,21.0,28.1,118.2,4993.92,19.648209836065575,0.5136466554004168,0.4789876944508939
23,23,1998,0,SAS,1610612759,"ANTONIO DANIELS, TIM DUNCAN, MARIO ELIE, SEAN ELLIOTT, ANDREW GAZE, JAREN JACKSON, AVERY JOHNSON, STEVE KERR, JEROME KERSEY, GERARD KING, WILL PERDUE, DAVID ROBINSON, MALIK ROSE, BRANDON WILLIAMS",14,12075.0,1740,3812,5.768,172,521,2.423,988,1415,8.749,614,1584,2198,1101,421,351,717,1010,4640,258.3,36.6,80.2,5.768,3.9,11.4,2.423,21.4,31.0,8.749,13.3,33.7,47.0,23.0,8.9,7.4,15.1,21.8,98.2,4537.6,18.037664596273295,0.5231587967347675,0.4790136411332634
24,24,1998,0,SEA,1610612760,"VIN BAKER, DREW BARRY, JAMES COTTON, DALE ELLIS, HERSEY HAWKINS, RASHARD LEWIS, DON MACLEAN, JELANI MCCOY, MOOCHIE NORRIS, BILLY OWENS, GARY PAYTON, OLDEN POLYNICE, DETLEF SCHREMPF, VLADIMIR STEPANIA, AARON WILLIAMS",15,11737.0,1709,3860,6.401,296,864,4.057,882,1307,9.502,668,1400,2068,1029,384,201,688,1017,4596,315.7,45.4,104.6,6.401,7.3,21.3,4.057,24.2,37.4,9.502,18.3,37.7,56.1,26.1,10.2,5.9,19.9,29.6,122.4,4455.08,18.219633637215644,0.5181417246137612,0.4810880829015544
25,25,1998,0,TOR,1610612761,"MARK BAKER, DEE BROWN, VINCE CARTER, DOUG CHRISTIE, WILLIAM CUNNINGHAM, NEGELE KNIGHT, SEAN MARKS, TRACY MCGRADY, CHARLES OAKLEY, REGGIE SLATER, MICHAEL STEWART, JOHN THOMAS, JOHN WALLACE, ALVIN WILLIAMS, MICHEAL WILLIAMS, KEVIN WILLIS",16,12075.0,1660,3940,5.906,226,662,1.741,1011,1330,9.114,712,1447,2159,1036,439,321,767,1139,4557,277.6,36.4,88.5,5.906,4.699999999999999,13.4,1.741,22.1,29.7,9.114,16.4,31.9,48.3,22.5,9.4,6.7,19.0,26.3,99.9,4580.2,18.207006211180126,0.5035136568549456,0.45
26,26,1998,0,UTA,1610612762,"SHANDON ANDERSON, ANTHONY AVENT, THURL BAILEY, HOWARD EISLEY, GREG FOSTER, TODD FULLER, JEFF HORNACEK, ADAM KEEFE, CHRIS KING, KARL MALONE, GREG OSTERTAG, BRYON RUSSELL, JOHN STOCKTON, JACQUE VAUGHN",14,12175.0,1684,3620,5.978,140,388,2.355,1158,1510,9.441,555,1508,2063,1204,398,276,786,1133,4666,268.8,36.2,79.5,5.978,2.8,8.0,2.355,24.7,32.800000000000004,9.441,13.4,33.6,46.9,25.2,9.0,6.0,18.3,26.0,100.1,4515.4,17.801987679671456,0.544533656988143,0.4845303867403315
27,27,1998,0,VAN,1610612763,"SHAREEF ABDUR-RAHIM, MIKE BIBBY, PETE CHILCUTT, J.R. HENDERSON, CARL HERRERA, FELIPE LOPEZ, SAM MACK, TONY MASSENBURG, LEE MAYBERRY, MAKHTAR N'DIAYE, CHEROKEE PARKS, BRYANT REEVES, JASON SASSER, MICHAEL SMITH, DOUG WEST, DEJUAN WHEAT",16,11781.0,1605,3720,6.461,132,412,2.52,993,1382,10.468,638,1336,1974,928,411,194,778,1079,4335,330.6,42.7,100.9,6.461,4.4,13.0,2.52,25.4,36.0,10.468,17.4,34.6,52.1,25.2,11.4,5.0,21.0,33.1,114.4,4468.08,18.204553093964858,0.5007994306944419,0.4491935483870968
28,28,1998,0,WAS,1610612764,"ETDRICK BOHANNON, CALBERT CHEANEY, JOHN COKER, TERRY DAVIS, JUWAN HOWARD, RANDELL JACKSON, TIM LEGLER, JEFF MCINNIS, TRACY MURRAY, MITCH RICHMOND, ROD STRICKLAND, OTIS THORPE, BEN WALLACE, JAHIDI WHITE, CHRIS WHITNEY",15,12050.0,1768,3969,6.324,179,580,2.276,845,1198,9.489,595,1403,1998,1064,393,193,708,1151,4560,296.9,42.8,96.7,6.324,4.4,14.0,2.276,20.4,29.2,9.489,15.6,34.8,49.9,25.4,9.4,5.0,17.3,29.3,110.6,4609.12,18.35998008298755,0.5071039029207406,0.46800201562106325
