,Unnamed: 0,SEASON_ID,LEAGUE_ID,TEAM_ABBREVIATION,TEAM_ID,PLAYER_FULLNAME,PLAYER_COUNT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PG,FGM_PG,FGA_PG,FG_PCT_PG,FG3M_PG,FG3A_PG,FG3_PCT_PG,FTM_PG,FTA_PG,FT_PCT_PG,OREB_PG,DREB_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG,Possessions,Pace,TS%,eFG%
0,0,2006,0,ATL,1610612737,"ESTEBAN BATISTA, CEDRIC BOZEMAN, JOSH CHILDRESS, SPEEDY CLAXTON, MATT FREIJE, ROYAL IVEY, JOE JOHNSON, SOLOMON JONES, TYRONN LUE, SLAVA MEDVEDENKO, ZAZA PACHULIA, JEREMY RICHARDSON, JOSH SMITH, SALIM STOUDAMIRE, DIJON THOMPSON, MARVIN WILLIAMS, SHELDEN WILLIAMS, LORENZEN WRIGHT",18,19142.0,2749,6175,7.731,327,994,4.406,1652,2171,12.105,967,2268,3235,1450,592,444,1201,1919,7477,342.3,47.9,109.3,7.731,6.2,18.9,4.406,28.4,37.2,12.105,16.2,39.1,55.4,26.0,10.4,6.9,20.8,34.1,130.6,7364.24,18.466383867934386,0.5243161520509829,0.4716599190283401
1,1,2006,0,BOS,1610612738,"TONY ALLEN, RYAN GOMES, GERALD GREEN, AL JEFFERSON, MICHAEL OLOWOKANDI, KENDRICK PERKINS, PAUL PIERCE, KEVINN PINKNEY, LEON POWE, THEO RATLIFF, ALLAN RAY, RAJON RONDO, BRIAN SCALABRINE, WALLY SZCZERBIAK, SEBASTIAN TELFAIR, DELONTE WEST",16,19858.0,2858,6454,6.9,471,1283,3.97,1670,2178,12.059,918,2391,3309,1630,589,382,1285,1971,7857,367.8,50.9,115.5,6.9,8.799999999999999,23.4,3.97,32.0,41.7,12.059,16.6,43.4,60.1,26.9,10.9,8.0,23.1,37.8,143.0,7779.32,18.80387551616477,0.5299960066483909,0.4793151533932445
2,2,2006,0,CHA,1610612766,"ALAN ANDERSON, DEREK ANDERSON, PRIMOZ BREZEC, MATT CARROLL, MELVIN ELY, RAYMOND FELTON, OTHELLA HARRINGTON, WALTER HERRMANN, RYAN HOLLINS, BREVIN KNIGHT, SEAN MAY, JEFF MCINNIS, ADAM MORRISON, EMEKA OKAFOR, BERNARD ROBINSON, JAKE VOSKUHL, GERALD WALLACE",17,19971.0,2956,6630,7.552,457,1278,3.655,1564,2129,12.669,918,2345,3263,1835,637,369,1171,1979,7933,358.6,51.7,115.2,7.552,7.0,20.2,3.655,28.2,37.9,12.669,16.8,42.0,58.6,33.0,11.1,6.2,21.9,37.9,138.4,7819.76,18.79467628060688,0.5242005825478805,0.480316742081448
3,3,2006,0,CHI,1610612741,"MALIK ALLEN, ANDRE BARRETT, P.J. BROWN, LUOL DENG, CHRIS DUHON, BEN GORDON, ADRIAN GRIFFIN, KIRK HINRICH, VIKTOR KHRYAPA, ANDRES NOCIONI, THABO SEFOLOSHA, MICHAEL SWEETNEY, TYRUS THOMAS, BEN WALLACE",14,19781.0,3046,6663,6.263,480,1237,2.27,1528,2083,9.293,984,2597,3581,1832,639,445,1263,1908,8100,278.9,42.6,93.4,6.263,6.5,16.9,2.27,21.0,28.8,9.293,14.2,37.7,51.9,25.8,8.9,6.300000000000001,18.4,28.5,112.6,7858.52,19.06925635711036,0.5343346280503251,0.49317124418430136
4,4,2006,0,CLE,1610612739,"SHANNON BROWN, DANIEL GIBSON, DREW GOODEN, LARRY HUGHES, ZYDRUNAS ILGAUSKAS, LEBRON JAMES, DAMON JONES, DWAYNE JONES, DONYELL MARSHALL, IRA NEWBLE, SASHA PAVLOVIC, SCOT POLLARD, ERIC SNOW, ANDERSON VAREJAO, DAVID WESLEY",15,19879.0,2978,6658,5.94,494,1404,3.4290000000000003,1484,2133,10.033,1039,2529,3568,1708,625,353,1127,1781,7934,293.1,42.0,95.8,5.94,8.0,22.1,3.4290000000000003,21.5,31.2,10.033,15.2,36.7,51.4,24.0,9.2,4.7,16.4,27.2,113.6,7684.52,18.555106393681776,0.5222128027043962,0.4843796936016822
5,5,2006,0,DAL,1610612742,"MAURICE AGER, J.J. BAREA, GREG BUCKNER, AUSTIN CROSHERE, ERICK DAMPIER, DESAGANA DIOP, DEVEAN GEORGE, DEVIN HARRIS, JOSH HOWARD, ANTHONY JOHNSON, DJ MBENGA, POPS MENSAH-BONSU, DIRK NOWITZKI, JERRY STACKHOUSE, JASON TERRY, KEVIN WILLIS",16,19754.0,3010,6442,7.047,535,1404,3.85,1646,2045,12.057,920,2515,3435,1632,560,408,1075,1837,8201,295.90000000000003,43.9,96.0,7.047,7.7,20.4,3.85,24.1,30.7,12.057,13.9,37.3,51.4,23.5,8.4,5.8,16.5,29.5,119.9,7496.8,18.21638149235598,0.5585142608079763,0.5087705681465383
6,6,2006,0,DEN,1610612743,"CARMELO ANTHONY, EARL BOYKINS, MARCUS CAMBY, ANTHONY CARTER, YAKHOUBA DIAWARA, REGGIE EVANS, JULIUS HODGE, DERMARR JOHNSON, LINAS KLEIZA, KENYON MARTIN, ANDRE MILLER, EDUARDO NAJERA, NENE, JAMAL SAMPSON, JR SMITH, JOE SMITH",16,16017.0,2570,5478,7.451,386,1156,2.244,1464,1969,10.671,971,2312,3283,1237,537,418,1019,1610,6990,351.7,52.7,113.9,7.451,6.9,22.2,2.244,28.7,41.8,10.671,20.1,49.2,69.3,35.5,10.9,7.5,25.2,36.1,140.7,6392.36,19.156725978647685,0.5508829889854927,0.5043811610076671
7,7,2006,0,DET,1610612765,"CHAUNCEY BILLUPS, WILL BLALOCK, DALE DAVIS, CARLOS DELFINO, RONALD DUPREE, RICHARD HAMILTON, LINDSEY HUNTER, AMIR JOHNSON, JASON MAXIELL, ANTONIO MCDYESS, NAZR MOHAMMED, FLIP MURRAY, TAYSHAUN PRINCE, RASHEED WALLACE",14,18603.0,2742,6075,6.186,447,1299,2.564,1455,1856,10.321,861,2173,3034,1641,541,446,887,1565,7386,287.1,41.0,90.5,6.186,6.3,18.7,2.564,22.1,28.1,10.321,14.6,33.7,48.2,24.6,8.7,8.0,14.3,25.5,109.7,6917.64,17.849095307208515,0.5358666442240163,0.48814814814814816
8,8,2006,0,GSW,1610612744,"KELENNA AZUBUIKE, MATT BARNES, ANDRIS BIEDRINS, BARON DAVIS, IKE DIOGU, MIKE DUNLEAVY, MONTA ELLIS, ADONAL FOYLE, RENALDO MAJOR, KEITH MCLEOD, TROY MURPHY, PATRICK O'BRYANT, MICKAEL PIETRUS, JASON RICHARDSON, ANTHONY ROBERSON, DAJUAN WAGNER",16,16509.0,2682,5759,7.621,556,1575,4.618,1247,1758,10.768,794,2115,2909,1600,641,425,1051,1602,7167,341.7,52.0,118.0,7.621,11.6,30.9,4.618,26.1,37.1,10.768,14.3,41.5,55.7,30.2,13.8,7.8,21.6,35.300000000000004,141.6,6789.52,19.740563329093224,0.5485631884785657,0.5139781212015975
9,9,2006,0,HOU,1610612745,"RAFER ALSTON, SHANE BATTIER, CHUCK HAYES, LUTHER HEAD, JUWAN HOWARD, JOHN LUCAS III, TRACY MCGRADY, DIKEMBE MUTOMBO, STEVE NOVAK, SCOTT PADGETT, KIRK SNYDER, VASSILIS SPANOULIS, BONZI WELLS, YAO MING",14,19725.0,2897,6506,6.044,705,1893,2.984,1424,1891,10.362,862,2651,3513,1701,582,336,1112,1693,7923,302.5,45.2,101.8,6.044,9.7,27.3,2.984,24.1,32.3,10.362,13.3,41.8,55.0,25.0,9.0,5.6,18.2,27.3,124.3,7588.04,18.465192395437263,0.5398580547394127,0.49946203504457426
